"STRICLTY EMBARGOED UNTIL DECEMBER 3, 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Rank,Regional Rank,Country / Territory,CPI 2013 Score,,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,,,,,,,,,,,,,
,,,,,,,Lower,Upper,MIN,MAX,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9,1,Canada,81,,7,2.4,77,85,72,89,,,,,,,,,,,,,
15,2,Barbados,75,,3,7.1,63,87,64,88,,,,,,,,,,,,,
19,3,Uruguay,73,,6,1.4,71,75,69,79,,,,,,,,,,,,,
19,3,United States,73,,9,4,66,80,50,89,,,,,,,,,,,,,
22,5,Bahamas,71,,3,1,69,73,69,73,,,,,,,,,,,,,
22,5,Chile,71,,9,1.8,68,74,63,79,,,,,,,,,,,,,
22,5,Saint Lucia,71,,3,0.8,70,72,70,73,,,,,,,,,,,,,
33,8,Puerto Rico,62,,3,6,52,72,51,71,,,,,,,,,,,,,
33,8,Saint Vincent and the Grenadines,62,,3,5.6,53,71,54,73,,,,,,,,,,,,,
41,10,Dominica,58,,3,2.3,54,62,54,63,,,,,,,,,,,,,
49,11,Costa Rica,53,,5,4.1,46,60,41,66,,,,,,,,,,,,,
63,12,Cuba,46,,4,4.5,39,53,36,54,,,,,,,,,,,,,
72,13,Brazil,42,,8,3.7,36,48,30,62,,,,,,,,,,,,,
83,14,El Salvador,38,,6,2,35,41,31,45,,,,,,,,,,,,,
83,14,Jamaica,38,,6,1.8,35,41,31,44,,,,,,,,,,,,,
83,14,Peru,38,,7,2.5,34,42,29,49,,,,,,,,,,,,,
83,14,Trinidad and Tobago,38,,4,5.1,30,46,31,52,,,,,,,,,,,,,
94,18,Colombia,36,,7,2,33,39,28,45,,,,,,,,,,,,,
94,18,Suriname,36,,3,3.2,31,41,31,42,,,,,,,,,,,,,
102,20,Ecuador,35,,6,3.6,29,41,21,46,,,,,,,,,,,,,
102,20,Panama,35,,6,2.2,31,39,28,42,,,,,,,,,,,,,
106,22,Argentina,34,,8,2.4,30,38,20,40,,,,,,,,,,,,,
106,22,Bolivia,34,,7,3.7,28,40,17,47,,,,,,,,,,,,,
106,22,Mexico,34,,9,1.8,31,37,27,42,,,,,,,,,,,,,
123,25,Dominican Republic,29,,6,3.5,23,35,21,42,,,,,,,,,,,,,
123,25,Guatemala,29,,6,2.6,25,33,21,36,,,,,,,,,,,,,
127,27,Nicaragua,28,,7,2.4,24,32,21,37,,,,,,,,,,,,,
136,28,Guyana,27,,4,2.9,22,32,21,33,,,,,,,,,,,,,
140,29,Honduras,26,,6,2.5,22,30,21,35,,,,,,,,,,,,,
150,30,Paraguay,24,,5,3.1,19,29,19,36,,,,,,,,,,,,,
160,31,Venezuela,20,,7,2.3,16,24,12,29,,,,,,,,,,,,,
163,32,Haiti,19,,5,3.1,14,24,11,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Regional average,,,45,,,,,,,,,,,,,,,,,,,,
% of countries below 50,,,66%,,,,,,,,,,,,,,,,,,,,
