"STRICLTY EMBARGOED UNTIL DECEMBER 3, 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Rank,Regional Rank,Country / Territory,CPI 2013 Score,,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,,,,,,,,,,,,,
,,,,,,,Lower,Upper,MIN,MAX,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,1,New Zealand,91,,7,2.3,87,95,83,98,,,,,,,,,,,,,
5,2,Singapore,86,,9,2.3,82,90,75,99,,,,,,,,,,,,,
9,3,Australia,81,,8,1.5,79,83,74,88,,,,,,,,,,,,,
15,4,Hong Kong,75,,8,2.4,71,79,65,83,,,,,,,,,,,,,
18,5,Japan,74,,9,2.4,70,78,57,81,,,,,,,,,,,,,
31,6,Bhutan,63,,4,2.6,59,67,57,70,,,,,,,,,,,,,
36,7,Taiwan,61,,7,4.3,54,68,49,79,,,,,,,,,,,,,
38,8,Brunei,60,,3,10.4,43,77,41,76,,,,,,,,,,,,,
46,9,Korea (South),55,,10,2.4,51,59,44,67,,,,,,,,,,,,,
53,10,Malaysia,50,,9,3.4,44,56,31,62,,,,,,,,,,,,,
80,11,China,40,,9,2.9,35,45,28,55,,,,,,,,,,,,,
83,12,Mongolia,38,,7,2.2,34,42,31,47,,,,,,,,,,,,,
91,13,Sri Lanka,37,,7,2.1,34,40,28,44,,,,,,,,,,,,,
94,14,India,36,,10,2.2,32,40,24,47,,,,,,,,,,,,,
94,14,Philippines,36,,9,2.5,32,40,21,45,,,,,,,,,,,,,
102,16,Thailand,35,,8,1.2,33,37,31,40,,,,,,,,,,,,,
114,17,Indonesia,32,,9,3.5,26,38,21,50,,,,,,,,,,,,,
116,18,Nepal,31,,5,1.4,29,33,28,35,,,,,,,,,,,,,
116,18,Vietnam,31,,8,2.6,27,35,21,41,,,,,,,,,,,,,
119,20,Timor-Leste,30,,3,3.2,25,35,23,34,,,,,,,,,,,,,
127,21,Pakistan,28,,8,3,23,33,19,42,,,,,,,,,,,,,
136,22,Bangladesh,27,,7,4.1,20,34,21,50,,,,,,,,,,,,,
140,23,Laos,26,,4,5,18,34,19,41,,,,,,,,,,,,,
144,24,Papua New Guinea,25,,5,4.2,18,32,11,35,,,,,,,,,,,,,
157,25,Myanmar,21,,6,3.9,15,27,11,39,,,,,,,,,,,,,
160,26,Cambodia,20,,7,3,15,25,11,30,,,,,,,,,,,,,
175,27,Afghanistan,8,,3,3.3,3,13,1,12,,,,,,,,,,,,,
175,27,Korea (North),8,,3,3.4,2,14,1,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Regional average,,,43,,,,,,,,,,,,,,,,,,,,
% of countries below 50,,,64%,,,,,,,,,,,,,,,,,,,,
