Country Rank,Country / Territory,WB Code,IFS Code,Region,Country Rank,CPI 2013 Score,Surveys Used,Standard Error,CI_Lower,CI_Upper,Scores_MIN,Scores_MAX,,,,,,,,,,,,,
1,Denmark,DNK,128,EU,1,91,7,2.2,87,95,83,98,,,,,,,,,,,,,
1,New Zealand,NZL,196,AP,1,91,7,2.3,87,95,83,98,,,,,,,,,,,,,
3,Finland,FIN,172,EU,3,89,7,1.7,86,92,83,98,,,,,,,,,,,,,
3,Sweden,SWE,144,EU,3,89,7,2.3,85,93,83,98,,,,,,,,,,,,,
5,Norway,NOR,142,EU,5,86,7,2.3,82,90,80,98,,,,,,,,,,,,,
5,Singapore,SGP,576,AP,5,86,9,2.3,82,90,75,99,,,,,,,,,,,,,
7,Switzerland,CHE,146,EU,7,85,6,2.5,81,89,73,89,,,,,,,,,,,,,
8,Netherlands,NLD,138,EU,8,83,7,2,80,86,73,89,,,,,,,,,,,,,
9,Australia,AUS,193,AP,9,81,8,1.5,79,83,74,88,,,,,,,,,,,,,
9,Canada,CAN,156,AM,9,81,7,2.4,77,85,72,89,,,,,,,,,,,,,
11,Luxembourg,LUX,137,EU,11,80,6,2.9,75,85,71,89,,,,,,,,,,,,,
12,Germany,DEU,134,EU,12,78,8,2.4,74,82,73,89,,,,,,,,,,,,,
12,Iceland,ISL,176,EU,12,78,6,2.8,73,83,71,89,,,,,,,,,,,,,
14,United Kingdom,GBR,112,EU,14,76,8,1.3,74,78,71,81,,,,,,,,,,,,,
15,Barbados,BRB,316,AM,15,75,3,7.1,63,87,64,88,,,,,,,,,,,,,
15,Belgium,BEL,124,EU,15,75,7,2.3,71,79,71,89,,,,,,,,,,,,,
15,Hong Kong,HKG,532,AP,15,75,8,2.4,71,79,65,83,,,,,,,,,,,,,
18,Japan,JPN,158,AP,18,74,9,2.4,70,78,57,81,,,,,,,,,,,,,
19,United States,USA,111,AM,19,73,9,4,66,80,50,89,,,,,,,,,,,,,
19,Uruguay,URY,298,AM,19,73,6,1.4,71,75,69,79,,,,,,,,,,,,,
21,Ireland,IRL,178,EU,21,72,6,4.2,65,79,54,83,,,,,,,,,,,,,
22,Bahamas,BHS,313,AM,22,71,3,1,69,73,69,73,,,,,,,,,,,,,
22,Chile,CHL,228,AM,22,71,9,1.8,68,74,63,79,,,,,,,,,,,,,
22,France,FRA,132,EU,22,71,8,2.4,67,75,57,79,,,,,,,,,,,,,
22,Saint Lucia,LCA,362,AM,22,71,3,0.8,70,72,70,73,,,,,,,,,,,,,
26,Austria,AUT,122,EU,26,69,8,3.2,64,74,54,81,,,,,,,,,,,,,
26,United Arab Emirates,ARE,466,ME,26,69,7,4.7,61,77,54,87,,,,,,,,,,,,,
28,Estonia,EST,939,EU,28,68,9,2.7,64,72,54,81,,,,,,,,,,,,,
28,Qatar,QAT,453,ME,28,68,6,7.2,56,80,45,92,,,,,,,,,,,,,
30,Botswana,BWA,616,AF,30,64,7,1.6,61,67,60,71,,,,,,,,,,,,,
31,Bhutan,BTN,514,AP,31,63,4,2.6,59,67,57,70,,,,,,,,,,,,,
31,Cyprus,CYP,423,EU,31,63,5,3.9,57,69,49,71,,,,,,,,,,,,,
33,Portugal,PRT,182,EU,33,62,7,3,57,67,54,73,,,,,,,,,,,,,
33,Puerto Rico,PRI,,AM,33,62,3,6,52,72,51,71,,,,,,,,,,,,,
33,Saint Vincent and the Grenadines,VCT,364,AM,33,62,3,5.6,53,71,54,73,,,,,,,,,,,,,
36,Israel,ISR,436,ME,36,61,6,1.6,58,64,54,65,,,,,,,,,,,,,
36,Taiwan,TWN,528,AP,36,61,7,4.3,54,68,49,79,,,,,,,,,,,,,
38,Brunei,BRN,516,AP,38,60,3,10.4,43,77,41,76,,,,,,,,,,,,,
