"STRICLTY EMBARGOED UNTIL DECEMBER 3, 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Rank,Regional Rank,Country / Territory,CPI 2013 Score,,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,,,,,,,,,,,,,
,,,,,,,Lower,Upper,MIN,MAX,,,,,,,,,,,,,
1,1,Denmark,91,,7,2.2,87,95,83,98,,,,,,,,,,,,,
3,2,Finland,89,,7,1.7,86,92,83,98,,,,,,,,,,,,,
3,2,Sweden,89,,7,2.3,85,93,83,98,,,,,,,,,,,,,
5,4,Norway,86,,7,2.3,82,90,80,98,,,,,,,,,,,,,
7,5,Switzerland,85,,6,2.5,81,89,73,89,,,,,,,,,,,,,
8,6,Netherlands,83,,7,2,80,86,73,89,,,,,,,,,,,,,
11,7,Luxembourg,80,,6,2.9,75,85,71,89,,,,,,,,,,,,,
12,8,Germany,78,,8,2.4,74,82,73,89,,,,,,,,,,,,,
12,8,Iceland,78,,6,2.8,73,83,71,89,,,,,,,,,,,,,
14,10,United Kingdom,76,,8,1.3,74,78,71,81,,,,,,,,,,,,,
15,11,Belgium,75,,7,2.3,71,79,71,89,,,,,,,,,,,,,
21,12,Ireland,72,,6,4.2,65,79,54,83,,,,,,,,,,,,,
22,13,France,71,,8,2.4,67,75,57,79,,,,,,,,,,,,,
26,14,Austria,69,,8,3.2,64,74,54,81,,,,,,,,,,,,,
28,15,Estonia,68,,9,2.7,64,72,54,81,,,,,,,,,,,,,
31,16,Cyprus,63,,5,3.9,57,69,49,71,,,,,,,,,,,,,
33,17,Portugal,62,,7,3,57,67,54,73,,,,,,,,,,,,,
38,18,Poland,60,,10,2.3,56,64,50,73,,,,,,,,,,,,,
40,19,Spain,59,,7,4.9,51,67,41,73,,,,,,,,,,,,,
43,20,Lithuania,57,,8,3.8,51,63,41,71,,,,,,,,,,,,,
43,20,Slovenia,57,,9,3.6,51,63,36,73,,,,,,,,,,,,,
45,22,Malta,56,,5,2.4,52,60,49,63,,,,,,,,,,,,,
47,23,Hungary,54,,10,3.6,48,60,35,71,,,,,,,,,,,,,
49,24,Latvia,53,,8,3.6,47,59,41,73,,,,,,,,,,,,,
57,25,Croatia,48,,9,3.3,43,53,31,66,,,,,,,,,,,,,
57,25,Czech Republic,48,,10,3,43,53,34,62,,,,,,,,,,,,,
61,27,Slovakia,47,,8,4.7,39,55,26,62,,,,,,,,,,,,,
69,28,Italy,43,,7,2.5,39,47,38,55,,,,,,,,,,,,,
69,28,Romania,43,,9,3,38,48,31,57,,,,,,,,,,,,,
77,30,Bulgaria,41,,9,3.3,36,46,26,58,,,,,,,,,,,,,
80,31,Greece,40,,7,4.5,33,47,21,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Regional average,,,65,,,,,,,,,,,,,,,,,,,,
% of countries below 50,,,23%,,,,,,,,,,,,,,,,,,,,
