"STRICLTY EMBARGOED UNTIL DECEMBER 3, 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Rank,Regional Rank,Country / Territory,CPI 2013 Score,,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,,,,,,,,,,,,,
,,,,,,,Lower,Upper,MIN,MAX,,,,,,,,,,,,,
53,1,Turkey,50,,9,2.4,46,54,38,58,,,,,,,,,,,,,
55,2,Georgia,49,,6,6.9,38,60,22,70,,,,,,,,,,,,,
67,3,Macedonia,44,,6,5,36,52,21,55,,,,,,,,,,,,,
67,3,Montenegro,44,,4,2.2,40,48,39,49,,,,,,,,,,,,,
72,5,Bosnia and Herzegovina,42,,7,2.9,37,47,35,59,,,,,,,,,,,,,
72,5,Serbia,42,,7,3.4,36,48,31,53,,,,,,,,,,,,,
94,7,Armenia,36,,6,3.5,30,42,21,47,,,,,,,,,,,,,
102,8,Moldova,35,,8,2.8,30,40,25,47,,,,,,,,,,,,,
111,9,Kosovo,33,,3,2.3,29,37,29,36,,,,,,,,,,,,,
116,10,Albania,31,,7,2.1,28,34,23,38,,,,,,,,,,,,,
123,11,Belarus,29,,5,4,22,36,21,43,,,,,,,,,,,,,
127,12,Azerbaijan,28,,6,3.5,22,34,21,40,,,,,,,,,,,,,
127,12,Russia,28,,9,2.3,24,32,21,43,,,,,,,,,,,,,
140,14,Kazakhstan,26,,8,3.3,21,31,11,39,,,,,,,,,,,,,
144,15,Ukraine,25,,8,1.7,22,28,18,32,,,,,,,,,,,,,
150,16,Kyrgyzstan,24,,6,2.3,20,28,18,35,,,,,,,,,,,,,
154,17,Tajikistan,22,,5,3.8,16,28,11,32,,,,,,,,,,,,,
168,18,Turkmenistan,17,,3,2.9,12,22,11,21,,,,,,,,,,,,,
168,18,Uzbekistan,17,,6,2,14,20,11,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Regional average,,,33,,,,,,,,,,,,,,,,,,,,
% of countries below 50,,,95%,,,,,,,,,,,,,,,,,,,,
