"STRICLTY EMBARGOED UNTIL DECEMBER 3, 2013",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country Rank,Regional Rank,Country / Territory,CPI 2013 Score,,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,,,,,,,,,,,,,
,,,,,,,Lower,Upper,MIN,MAX,,,,,,,,,,,,,
30,1,Botswana,64,,7,1.6,61,67,60,71,,,,,,,,,,,,,
41,2,Cape Verde,58,,4,4.8,50,66,49,70,,,,,,,,,,,,,
47,3,Seychelles,54,,4,8.2,41,67,32,71,,,,,,,,,,,,,
49,4,Rwanda,53,,5,5.7,44,62,40,74,,,,,,,,,,,,,
52,5,Mauritius,52,,5,1.1,50,54,49,55,,,,,,,,,,,,,
55,6,Lesotho,49,,5,3.6,43,55,42,63,,,,,,,,,,,,,
57,7,Namibia,48,,6,3.4,42,54,38,63,,,,,,,,,,,,,
63,8,Ghana,46,,9,3.3,41,51,28,58,,,,,,,,,,,,,
72,9,Sao Tome and Principe,42,,3,5,34,50,32,47,,,,,,,,,,,,,
72,9,South Africa,42,,9,2.8,37,47,32,55,,,,,,,,,,,,,
77,11,Senegal,41,,9,1.5,39,43,33,47,,,,,,,,,,,,,
82,12,Swaziland,39,,4,1.8,36,42,35,42,,,,,,,,,,,,,
83,13,Burkina Faso,38,,7,3.9,32,44,20,50,,,,,,,,,,,,,
83,13,Liberia,38,,7,3.3,33,43,28,52,,,,,,,,,,,,,
83,13,Zambia,38,,8,2.1,35,41,32,50,,,,,,,,,,,,,
91,16,Malawi,37,,8,1.7,34,40,31,45,,,,,,,,,,,,,
94,17,Benin,36,,6,3.4,30,42,25,47,,,,,,,,,,,,,
94,17,Djibouti,36,,3,8.6,22,50,23,52,,,,,,,,,,,,,
106,19,Gabon,34,,5,1.5,32,36,31,38,,,,,,,,,,,,,
106,19,Niger,34,,5,3.7,28,40,21,42,,,,,,,,,,,,,
111,21,Ethiopia,33,,8,2.5,29,37,21,42,,,,,,,,,,,,,
111,21,Tanzania,33,,8,2.7,29,37,22,47,,,,,,,,,,,,,
119,23,Mauritania,30,,5,4.1,23,37,21,42,,,,,,,,,,,,,
119,23,Mozambique,30,,7,2,27,33,23,38,,,,,,,,,,,,,
119,23,Sierra Leone,30,,8,2.4,26,34,21,40,,,,,,,,,,,,,
123,26,Togo,29,,5,3.7,23,35,21,42,,,,,,,,,,,,,
127,27,Comoros,28,,3,7.5,16,40,17,42,,,,,,,,,,,,,
127,27,Gambia,28,,5,6.7,17,39,12,50,,,,,,,,,,,,,
127,27,Madagascar,28,,8,1.9,25,31,22,38,,,,,,,,,,,,,
127,27,Mali,28,,6,3.3,23,33,20,40,,,,,,,,,,,,,
136,31,Côte d´Ivoire,27,,8,2.3,23,31,19,38,,,,,,,,,,,,,
136,31,Kenya,27,,8,2.7,23,31,19,37,,,,,,,,,,,,,
140,33,Uganda,26,,8,3.3,21,31,12,38,,,,,,,,,,,,,
144,34,Cameroon,25,,8,2.9,20,30,12,40,,,,,,,,,,,,,
144,34,Central African Republic,25,,4,5.4,16,34,11,37,,,,,,,,,,,,,
144,34,Nigeria,25,,9,3.1,20,30,14,40,,,,,,,,,,,,,
150,37,Guinea,24,,7,3.6,18,30,12,40,,,,,,,,,,,,,
153,38,Angola,23,,7,2.8,18,28,19,40,,,,,,,,,,,,,
154,39,Congo Republic,22,,6,3.8,16,28,12,40,,,,,,,,,,,,,
154,39,Democratic Republic of the Congo,22,,5,4.2,15,29,12,37,,,,,,,,,,,,,
157,41,Burundi,21,,5,2.6,17,25,12,27,,,,,,,,,,,,,
157,41,Zimbabwe,21,,8,4.3,14,28,0,38,,,,,,,,,,,,,
160,43,Eritrea,20,,4,11,2,38,5,52,,,,,,,,,,,,,
163,44,Chad,19,,5,3.8,13,25,9,30,,,,,,,,,,,,,
163,44,Equatorial Guinea,19,,3,2.2,15,23,15,22,,,,,,,,,,,,,
163,44,Guinea-Bissau,19,,4,2.4,15,23,12,22,,,,,,,,,,,,,
173,47,South Sudan,14,,3,1.6,11,17,12,17,,,,,,,,,,,,,
175,48,Somalia,8,,4,1.9,5,11,5,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Regional average,,,33,,,,,,,,,,,,,,,,,,,,
% of countries below 50,,,90%,,,,,,,,,,,,,,,,,,,,
