STRICTLY EMBARGOED UNTIL DECEMBER 3RD 2014,,,,,,,,,,,,,,,,,,,,,
Country Rank,,Country / Territory,CPI 2014 Score,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,Data sources,,,,,,,,,,,
,Regional Rank,,,,,Lower,Upper,MIN,MAX,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH
10,1,Canada,81,7,2.45,77,85,72,89,,81,,72,89,,80,74,88,83,,
17,2,Barbados,74,3,8.09,61,87,60,88,,,,,,,60,,88,73,,
17,2,United States,74,8,3.74,68,80,60,89,,89,,76,60,,63,69,88,73,74,
21,4,Chile,73,8,1.74,70,76,65,79,,65,75,77,79,,75,66,71,73,,
21,4,Uruguay,73,6,1.41,71,75,69,79,,,79,,69,,75,72,71,73,,
24,6,Bahamas,71,3,0.99,69,73,69,73,,,,,69,,,,71,73,,
29,7,Saint Vincent and the Grenadines,67,3,4.64,59,75,58,73,,,,,,58,,,71,73,,
31,8,Puerto Rico,63,3,4.37,56,70,56,71,,,,,,,56,,71,63,,
39,9,Dominica,58,3,2.34,54,62,54,63,,,,,,58,,,54,63,,
47,10,Costa Rica,54,5,4.07,47,61,41,66,,,66,,41,,54,,54,52,,
63,11,Cuba,46,4,4.46,39,53,36,54,,,36,,41,,,,54,52,,
69,12,Brazil,43,7,4.01,36,50,32,62,,,62,32,41,,35,42,38,52,,
80,13,El Salvador,39,6,1.98,36,42,31,45,,,45,,31,,42,39,38,42,,
85,14,Jamaica,38,6,1.80,35,41,31,43,,,36,,31,,43,41,38,42,,
85,14,Peru,38,7,2.63,34,42,28,49,,,49,38,31,,41,28,38,42,,
85,14,Trinidad and Tobago,38,4,4.82,30,46,31,52,,,,,31,,33,,38,52,,
94,17,Colombia,37,7,1.68,34,40,32,45,,,45,36,41,,33,36,38,32,,
94,17,Panama,37,6,3.49,31,43,28,52,,,28,,31,,39,37,38,52,,
100,19,Suriname,36,3,3.25,31,41,31,42,,,,,31,,35,,,42,,
103,20,Bolivia,35,7,2.98,30,40,24,47,,,36,,31,47,28,24,38,42,,
103,20,Mexico,35,8,1.66,32,38,29,42,,41,32,34,31,,34,29,38,42,,
107,22,Argentina,34,7,2.42,30,38,24,42,,,40,31,31,,24,42,38,32,,
110,23,Ecuador,33,5,3.56,27,39,21,41,,,32,,41,,,39,21,32,,
115,24,Dominican Republic,32,6,3.30,27,37,22,42,,,23,,22,,36,29,38,42,,
115,24,Guatemala,32,6,2.96,27,37,21,42,,,36,,31,,42,30,21,32,,
124,26,Guyana,30,4,3.03,25,35,21,35,,,,,21,35,33,,,32,,
126,27,Honduras,29,6,3.49,23,35,21,41,,,32,,21,35,41,,21,22,,
133,28,Nicaragua,28,7,2.03,25,31,21,35,,,28,,21,35,31,30,21,32,,
150,29,Paraguay,24,5,2.95,19,29,21,36,,,36,,21,,22,,21,22,,
161,30,Haiti,19,5,2.86,14,24,11,23,,,23,,12,23,23,,,11,,
161,30,Venezuela,19,7,1.69,16,22,12,25,,,19,25,12,,14,22,21,22,,
