Country Rank,Country / Territory,WB Code,Region,Country Rank,CPI 2014 Score,Surveys Used,Standard Error,CI_Lower,CI_Upper,Score_MIN,Score_MAX,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH,,,
1,Denmark,DNK,EU,1,92,7,2.04,89,95,83,98,,97,,95,98,,90,90,88,83,,,,,
2,New Zealand,NZL,AP,2,91,7,2.28,87,95,83,98,,97,,88,98,,95,85,88,83,,,,,
3,Finland,FIN,EU,3,89,7,2.05,86,92,83,98,,89,,90,98,,94,83,88,83,,,,,
4,Sweden,SWE,EU,4,87,7,3.41,81,93,72,98,,97,,85,98,,72,85,88,83,,,,,
5,Norway,NOR,EU,5,86,7,2.38,82,90,79,98,,81,,79,98,,88,87,88,83,,,,,
5,Switzerland,CHE,EU,5,86,6,2.61,82,90,73,89,,89,,89,89,,86,,88,73,,,,,
7,Singapore,SGP,AP,7,84,8,1.75,81,87,75,90,,,75,86,79,,90,84,88,83,86,,,,
8,Netherlands,NLD,EU,8,83,7,1.97,80,86,73,89,,73,,85,89,,82,82,88,83,,,,,
9,Luxembourg,LUX,EU,9,82,6,2.78,77,87,71,90,,81,,78,89,,90,,71,83,,,,,
10,Canada,CAN,AM,10,81,7,2.45,77,85,72,89,,81,,72,89,,80,74,88,83,,,,,
11,Australia,AUS,AP,11,80,8,1.31,78,82,71,83,,81,,81,79,,83,80,71,83,80,,,,
12,Germany,DEU,EU,12,79,7,2.58,75,83,73,89,,73,,82,89,,75,76,88,73,,,,,
12,Iceland,ISL,EU,12,79,6,3.16,74,84,71,88,,73,,84,88,,87,,71,73,,,,,
14,United Kingdom,GBR,EU,14,78,7,2.09,75,81,73,88,,73,,79,79,,81,74,88,73,,,,,
15,Belgium,BEL,EU,15,76,7,2.26,72,80,71,89,,73,,73,89,,79,75,71,73,,,,,
15,Japan,JPN,AP,15,76,8,3.16,71,81,57,87,,57,,82,79,,87,77,71,73,78,,,,
17,Barbados,BRB,AM,17,74,3,8.09,61,87,60,88,,,,,,,60,,88,73,,,,,
17,Hong Kong,HKG,AP,17,74,7,2.75,69,79,64,87,,,,73,69,,87,78,71,73,64,,,,
17,Ireland,IRL,EU,17,74,6,4.75,66,82,54,87,,73,,85,69,,87,,54,73,,,,,
17,United States,USA,AM,17,74,8,3.74,68,80,60,89,,89,,76,60,,63,69,88,73,74,,,,
21,Chile,CHL,AM,21,73,8,1.74,70,76,65,79,,65,75,77,79,,75,66,71,73,,,,,
21,Uruguay,URY,AM,21,73,6,1.41,71,75,69,79,,,79,,69,,75,72,71,73,,,,,
23,Austria,AUT,EU,23,72,7,3.49,66,78,54,81,,81,,66,79,,71,77,54,73,,,,,
24,Bahamas,BHS,AM,24,71,3,0.99,69,73,69,73,,,,,69,,,,71,73,,,,,
25,United Arab Emirates,ARE,ME,25,70,7,5.14,62,78,54,91,,,58,83,60,,91,72,54,73,,,,,
26,Estonia,EST,EU,26,69,9,2.89,64,74,54,81,,81,75,71,60,,77,72,54,63,,66,,,
