STRICTLY EMBARGOED UNTIL DECEMBER 3RD 2014,,,,,,,,,,,,,,,,,,,,,
Country Rank,,Country / Territory,CPI 2014 Score,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,Data sources,,,,,,,,,,,
,Regional Rank,,,,,Lower,Upper,MIN,MAX,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH
1,1,Denmark,92,7,2.04,89,95,83,98,,97,,95,98,,90,90,88,83,,
3,2,Finland,89,7,2.05,86,92,83,98,,89,,90,98,,94,83,88,83,,
4,3,Sweden,87,7,3.41,81,93,72,98,,97,,85,98,,72,85,88,83,,
5,4,Norway,86,7,2.38,82,90,79,98,,81,,79,98,,88,87,88,83,,
5,4,Switzerland,86,6,2.61,82,90,73,89,,89,,89,89,,86,,88,73,,
8,6,Netherlands,83,7,1.97,80,86,73,89,,73,,85,89,,82,82,88,83,,
9,7,Luxembourg,82,6,2.78,77,87,71,90,,81,,78,89,,90,,71,83,,
12,8,Germany,79,7,2.58,75,83,73,89,,73,,82,89,,75,76,88,73,,
12,8,Iceland,79,6,3.16,74,84,71,88,,73,,84,88,,87,,71,73,,
14,10,United Kingdom,78,7,2.09,75,81,73,88,,73,,79,79,,81,74,88,73,,
15,11,Belgium,76,7,2.26,72,80,71,89,,73,,73,89,,79,75,71,73,,
17,12,Ireland,74,6,4.75,66,82,54,87,,73,,85,69,,87,,54,73,,
23,13,Austria,72,7,3.49,66,78,54,81,,81,,66,79,,71,77,54,73,,
26,14,Estonia,69,9,2.89,64,74,54,81,,81,75,71,60,,77,72,54,63,,66
26,14,France,69,7,2.17,65,73,57,74,,57,,74,69,,67,71,71,73,,
31,16,Cyprus,63,5,3.92,57,69,49,71,,49,,,69,,65,,71,63,,
31,16,Portugal,63,7,3.36,57,69,50,73,,73,,50,60,,67,62,54,73,,
35,18,Poland,61,9,2.70,57,65,50,73,,73,66,63,50,,58,59,54,73,,55
37,19,Spain,60,7,3.75,54,66,45,71,,57,,45,69,,48,62,71,63,,
39,20,Lithuania,58,8,3.85,52,64,41,71,,65,66,44,41,,55,,71,63,,55
39,20,Slovenia,58,9,3.03,53,63,40,73,,57,62,40,60,,56,53,54,73,,66
43,22,Latvia,55,8,3.35,49,61,41,73,,73,53,48,41,,58,,54,52,,60
43,22,Malta,55,5,2.63,51,59,49,63,,49,,,60,,50,,54,63,,
47,24,Hungary,54,9,3.45,48,60,35,71,,49,58,35,50,,46,57,71,63,,52
53,25,Czech Republic,51,9,2.94,46,56,36,63,,49,62,36,41,,48,53,54,63,,55
54,26,Slovakia,50,8,4.07,43,57,34,63,,57,62,34,41,,36,,54,63,,52
61,27,Croatia,48,9,3.25,43,53,31,66,,49,66,40,31,,46,47,54,52,,50
69,28,Bulgaria,43,9,2.82,38,48,31,58,,49,58,36,31,,47,35,38,42,,47
69,28,Greece,43,7,5.56,34,52,21,63,,57,,37,31,,44,49,21,63,,
69,28,Italy,43,7,2.26,39,47,37,53,,49,,37,41,,42,53,38,42,,
69,28,Romania,43,9,3.60,37,49,23,57,,57,53,23,31,,46,43,38,42,,50
