STRICTLY EMBARGOED UNTIL DECEMBER 3RD 2014,,,,,,,,,,,,,,,,,,,,,
Country Rank,,Country / Territory,CPI 2014 Score,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,Data sources,,,,,,,,,,,
,Regional Rank,,,,,Lower,Upper,MIN,MAX,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH
50,1,Georgia,52,6,6.47,41,63,32,77,,,49,,,47,77,65,,32,,44
64,2,The FYR of Macedonia,45,6,5.92,35,55,21,66,,,49,,,,66,46,21,42,,47
64,2,Turkey,45,8,2.69,41,49,35,57,,57,53,42,35,,47,48,38,42,,
76,4,Montenegro,42,4,4.25,35,49,32,50,,,49,,,,50,,,32,,39
78,5,Serbia,41,7,2.92,36,46,31,53,,,53,,31,,43,34,38,42,,47
80,6,Bosnia and Herzegovina,39,6,1.15,37,41,35,42,,,40,,,35,,38,38,42,,42
94,7,Armenia,37,6,3.69,31,43,21,47,,,40,,21,47,43,,,32,,37
103,8,Moldova,35,8,2.70,31,39,24,47,,,40,,31,47,29,24,38,42,,31
110,9,Albania,33,7,1.51,31,35,26,38,,,32,,31,,37,26,38,32,,37
110,9,Kosovo,33,3,2.33,29,37,29,36,,,36,,,35,,,,,,29
119,11,Belarus,31,5,4.04,24,38,21,46,,,32,,21,,,46,,32,,26
126,12,Azerbaijan,29,6,3.02,24,34,21,38,,,28,,21,,37,,38,32,,21
126,12,Kazakhstan,29,8,4.40,22,36,11,47,,,28,47,21,,45,36,21,11,,23
136,14,Kyrgyzstan,27,6,2.35,23,31,19,35,,,23,,,35,28,19,,32,,26
136,14,Russia,27,8,2.61,23,31,21,38,,,28,35,21,,38,35,21,22,,21
142,16,Ukraine,26,8,1.64,23,29,20,32,,,28,26,21,,31,20,21,32,,26
152,17,Tajikistan,23,5,5.32,14,32,11,42,,,15,,,23,42,,,11,,26
166,18,Uzbekistan,18,6,2.54,14,22,11,27,,,15,,,12,,27,21,11,,21
169,19,Turkmenistan,17,3,2.85,12,22,11,21,,,19,,,,,,,11,,21
