STRICTLY EMBARGOED UNTIL DECEMBER 3RD 2014,,,,,,,,,,,,,,,,,,,,,
Country Rank,,Country / Territory,CPI 2014 Score,Surveys Used,Standard Error,90% Confidence interval,,Scores range,,Data sources,,,,,,,,,,,
,Regional Rank,,,,,Lower,Upper,MIN,MAX,AFDB,BF (SGI),BF (BTI),IMD,ICRG,WB,WEF,WJP,EIU,GI,PERC,FH
31,1,Botswana,63,6,1.93,60,66,58,71,,,62,,60,,58,66,71,63,,
42,2,Cape Verde,57,4,5.94,47,67,42,70,62,,,,,70,55,,,42,,
43,3,Seychelles,55,3,8.62,41,69,42,71,,,,,,,42,,71,52,,
47,4,Mauritius,54,4,2.39,50,58,49,60,,,49,,,,60,,54,52,,
55,5,Lesotho,49,5,3.55,43,55,42,63,42,,45,,,47,49,,,63,,
55,5,Namibia,49,5,4.00,42,56,38,63,,,49,,50,,47,,38,63,,
55,5,Rwanda,49,4,3.23,44,54,40,55,55,,40,,,47,,,,52,,
61,8,Ghana,48,8,3.01,43,53,37,58,55,,49,,41,58,37,37,54,52,,
67,9,South Africa,44,7,2.41,40,48,35,54,,,45,35,41,,49,42,54,42,,
69,10,Senegal,43,8,2.28,39,47,32,54,45,,45,,41,47,41,41,54,32,,
69,10,Swaziland,43,3,2.98,38,48,38,48,,,,,,,48,,38,42,,
76,12,Sao Tome and Principe,42,3,5.05,34,50,32,47,47,,,,,47,,,,32,,
80,13,Benin,39,4,4.38,32,46,32,47,47,,32,,,47,,,,32,,
85,14,Burkina Faso,38,7,2.67,34,42,29,47,45,,32,,31,47,29,38,,42,,
85,14,Zambia,38,8,2.27,34,42,32,50,50,,32,,41,35,44,34,38,32,,
94,16,Gabon,37,4,4.19,30,44,31,49,,,,,31,,49,,38,32,,
94,16,Liberia,37,6,3.09,32,42,26,45,45,,45,,41,35,,26,,32,,
103,18,Niger,35,5,3.99,28,42,21,45,45,,40,,21,35,,,,32,,
107,19,Djibouti,34,3,9.10,19,49,23,52,27,,,,,23,,,,52,,
110,20,Ethiopia,33,8,2.54,29,37,22,42,42,,23,,31,35,35,37,38,22,,
110,20,Malawi,33,8,3.03,28,38,21,45,42,,45,,31,23,39,35,21,32,,
115,22,Côte d´Ivoire,32,8,4.20,25,39,19,55,35,,19,,21,35,55,33,38,22,,
115,22,Mali,32,6,3.37,26,38,21,42,40,,28,,21,35,26,,,42,,
119,24,Mozambique,31,7,1.89,28,34,22,38,22,,28,,31,35,32,,38,32,,
119,24,Sierra Leone,31,8,2.30,27,35,21,40,40,,36,,30,35,24,27,21,32,,
119,24,Tanzania,31,8,3.20,26,36,11,42,42,,32,,31,35,30,30,38,11,,
124,27,Mauritania,30,5,4.23,23,37,20,42,37,,28,,,23,20,,,42,,
126,28,Gambia,29,5,7.55,17,41,12,54,15,,,,31,12,54,,,32,,
126,28,Togo,29,5,3.69,23,35,21,42,27,,32,,21,23,,,,42,,
133,30,Madagascar,28,8,3.38,22,34,12,42,20,,28,,31,12,28,26,38,42,,
136,31,Cameroon,27,8,2.87,22,32,18,42,42,,28,,31,23,34,18,21,22,,
136,31,Nigeria,27,8,2.82,22,32,19,37,37,,36,,21,35,22,19,21,22,,
142,33,Comoros,26,3,8.75,12,40,12,42,12,,,,,23,,,,42,,
142,33,Uganda,26,8,3.03,21,31,12,38,30,,36,,21,12,27,22,38,22,,
145,35,Guinea,25,7,3.21,20,30,15,40,32,,40,,21,23,15,,21,22,,
145,35,Kenya,25,8,2.98,20,30,11,35,35,,28,,21,35,33,20,21,11,,
150,37,Central African Republic,24,4,1.33,22,26,22,28,22,,28,,,23,,,,22,,
152,38,Congo Republic,23,6,4.20,16,30,12,42,42,,19,,21,12,,,21,22,,
154,39,Chad,22,5,2.95,17,27,12,30,30,,23,,,12,24,,,22,,
154,39,Democratic Republic of the Congo,22,5,4.19,15,29,12,37,37,,19,,21,12,,,,22,,
156,41,Zimbabwe,21,8,4.18,14,28,0,38,17,,23,,12,-0,34,20,38,22,,
159,42,Burundi,20,5,3.65,14,26,11,28,27,,23,,,12,28,,,11,,
161,43,Angola,19,6,1.71,16,22,11,23,,,19,,21,23,17,,21,11,,
161,43,Guinea-Bissau,19,4,2.37,15,23,12,22,20,,,,21,12,,,,22,,
166,45,Eritrea,18,4,7.91,5,31,10,42,10,,10,,,12,,,,42,,
171,46,South Sudan,15,3,2.35,11,19,12,20,20,,15,,,12,,,,,,
174,47,Somalia,8,4,2.34,4,12,2,12,2,,6,,12,,,,,11,,
