Country/Territory,WB_Code,Region,CPI_2014_Score,CPI_2016_Score,CPI_2015_Score,CPI_2013_Score,CPI_2012_Score,CPI_2011_Score,CPI_2010_Score,CPI_2009_Score,CPI_2008_Score,CPI_2007_Score,CPI_2006_Score,CPI_2005_Score
Denmark,DNK,EU,92.0,90.0,91.0,91.0,90.0,9.382483,9.3,9.3,9.3,9.4,9.5,9.5
New Zealand,NZL,AP,91.0,90.0,88.0,91.0,90.0,9.454302,9.3,9.4,9.3,9.4,9.6,9.6
Finland,FIN,EU,89.0,89.0,90.0,89.0,90.0,9.394515,9.2,8.9,9.0,9.4,9.6,9.6
Sweden,SWE,EU,87.0,88.0,89.0,89.0,88.0,9.316553,9.2,9.2,9.3,9.3,9.2,9.2
Norway,NOR,EU,86.0,85.0,87.0,86.0,85.0,9.012827,8.6,8.6,7.9,8.7,8.8,8.9
Switzerland,CHE,EU,86.0,86.0,86.0,85.0,86.0,8.782031,8.7,9.0,9.0,9.0,9.1,9.1
Singapore,SGP,AP,84.0,84.0,85.0,86.0,87.0,9.175352,9.3,9.2,9.2,9.3,9.4,9.4
Netherlands,NLD,EU,83.0,83.0,87.0,83.0,84.0,8.891647,8.8,8.9,8.9,9.0,8.7,8.6
Luxembourg,LUX,EU,82.0,81.0,81.0,80.0,80.0,8.482549,8.5,8.2,8.3,8.4,8.6,8.5
Canada,CAN,AM,81.0,82.0,83.0,81.0,84.0,8.715696,8.9,8.7,8.7,8.7,8.5,8.4
Australia,AUS,AP,80.0,79.0,79.0,81.0,85.0,8.856585,8.7,8.7,8.7,8.6,8.7,8.8
Germany,DEU,EU,79.0,81.0,81.0,78.0,79.0,8.08558,7.9,8.0,7.9,7.8,8.0,8.2
Iceland,ISL,EU,79.0,78.0,79.0,78.0,82.0,8.245671,8.5,8.7,8.9,9.2,9.6,9.7
United Kingdom,GBR,EU,78.0,81.0,81.0,76.0,74.0,7.841097,7.6,7.7,7.7,8.4,8.6,8.6
Belgium,BEL,EU,76.0,77.0,77.0,75.0,75.0,7.540865,7.1,7.1,7.3,7.1,7.3,7.4
Japan,JPN,AP,76.0,72.0,75.0,74.0,74.0,8.011395,7.8,7.7,7.3,7.5,7.6,7.3
Barbados,BRB,AM,74.0,61.0,,75.0,76.0,7.737617,7.8,7.4,7.0,6.9,6.7,6.9
Hong Kong,HKG,AP,74.0,77.0,75.0,75.0,77.0,8.373632,8.4,8.2,8.1,8.3,8.3,8.3
Ireland,IRL,EU,74.0,73.0,75.0,72.0,69.0,7.495986,8.0,8.0,7.7,7.5,7.4,7.4
United States,USA,AM,74.0,74.0,76.0,73.0,73.0,7.205363,7.1,7.5,7.3,7.2,7.3,7.6
Chile,CHL,AM,73.0,66.0,70.0,71.0,72.0,7.36622,7.2,6.7,6.9,7.0,7.3,7.3
Uruguay,URY,AM,73.0,71.0,74.0,73.0,72.0,6.997421,6.9,6.7,6.9,6.7,6.4,5.9
Austria,AUT,EU,72.0,75.0,76.0,69.0,69.0,7.785461,7.9,7.9,8.1,8.1,8.6,8.7
Bahamas,BHS,AM,71.0,66.0,,71.0,71.0,7.245322,,,,,,
United Arab Emirates,ARE,ME,70.0,66.0,70.0,69.0,68.0,6.8641,6.3,6.5,5.9,5.7,6.2,6.2
Estonia,EST,EU,69.0,70.0,70.0,68.0,64.0,6.332883,6.5,6.6,6.6,6.5,6.7,6.4
France,FRA,EU,69.0,69.0,70.0,71.0,71.0,7.029479,6.8,6.9,6.9,7.3,7.4,7.5
Qatar,QAT,ME,69.0,61.0,71.0,68.0,68.0,7.11548,7.7,7.0,6.5,6.0,6.0,5.9
Saint Vincent and the Grenadines,VCT,AM,67.0,60.0,,62.0,62.0,5.700681,,6.4,6.5,6.1,,
Bhutan,BTN,AP,65.0,65.0,65.0,63.0,63.0,5.679618,5.7,5.0,5.2,5.0,6.0,
Botswana,BWA,AF,63.0,60.0,63.0,64.0,65.0,6.018521,5.8,5.6,5.8,5.4,5.6,5.9
Cyprus,CYP,EU,63.0,55.0,61.0,63.0,66.0,6.209112,6.3,6.6,6.4,5.3,5.6,5.7
Portugal,PRT,EU,63.0,62.0,63.0,62.0,63.0,6.040347,6.0,5.8,6.1,6.5,6.6,6.5
Puerto Rico,PRI,AM,63.0,,,62.0,63.0,5.526265,5.8,5.8,5.8,,,
Poland,POL,EU,61.0,62.0,62.0,60.0,58.0,5.647949,5.3,5.0,4.6,4.2,3.7,3.4
Taiwan,TWN,AP,61.0,61.0,62.0,61.0,61.0,6.078619,5.8,5.6,5.7,5.7,5.9,5.9
Israel,ISR,ME,60.0,64.0,61.0,61.0,60.0,5.745152,6.1,6.1,6.0,6.1,5.9,6.3
Spain,ESP,EU,60.0,58.0,58.0,59.0,65.0,6.326678,6.1,6.1,6.5,6.7,6.8,7.0
Dominica,DMA,AM,58.0,59.0,,58.0,58.0,5.106615,5.2,5.9,6.0,5.6,4.5,
Lithuania,LTU,EU,58.0,59.0,61.0,57.0,54.0,4.692134,5.0,4.9,4.6,4.8,4.8,4.8
Slovenia,SVN,EU,58.0,61.0,60.0,57.0,61.0,5.810651,6.4,6.6,6.7,6.6,6.4,6.1
Cape Verde,CPV,AF,57.0,59.0,55.0,58.0,60.0,5.459981,5.1,5.1,5.1,4.9,,
Korea (South),KOR,AP,55.0,53.0,56.0,55.0,56.0,5.444078,5.4,5.5,5.6,5.1,5.1,5.0
Latvia,LVA,EU,55.0,57.0,55.0,53.0,49.0,4.129701,4.3,4.5,5.0,4.8,4.7,4.2
Malta,MLT,EU,55.0,55.0,56.0,56.0,57.0,5.528169,5.6,5.2,5.8,5.8,6.4,6.6
Seychelles,SYC,AF,55.0,,55.0,54.0,52.0,4.756919,4.8,4.8,4.8,4.5,3.6,4.0
Costa Rica,CRI,AM,54.0,58.0,55.0,53.0,54.0,4.760072,5.3,5.3,5.1,5.0,4.1,4.2
Hungary,HUN,EU,54.0,48.0,51.0,54.0,55.0,4.525287,4.7,5.1,5.1,5.3,5.2,5.0
Mauritius,MUS,AF,54.0,54.0,53.0,52.0,57.0,5.005922,5.4,5.4,5.5,4.7,5.1,4.2
Georgia,GEO,EE,52.0,57.0,52.0,49.0,52.0,4.062078,3.8,4.1,3.9,3.4,2.8,2.3
Malaysia,MYS,AP,52.0,49.0,50.0,50.0,49.0,4.417317,4.4,4.5,5.1,5.1,5.0,5.1
Samoa,WSM,AP,52.0,,,,,3.805398,4.1,4.5,4.4,4.5,,
Czech Republic,CZE,EU,51.0,55.0,56.0,48.0,49.0,4.52601,4.6,4.9,5.2,5.2,4.8,4.3
Slovakia,SVK,EU,50.0,51.0,51.0,47.0,46.0,3.931068,4.3,4.5,5.0,4.9,4.7,4.3
Bahrain,BHR,ME,49.0,43.0,51.0,48.0,51.0,5.046338,4.9,5.1,5.4,5.0,5.7,5.8
Jordan,JOR,ME,49.0,48.0,53.0,45.0,48.0,4.646528,4.7,5.0,5.1,4.7,5.3,5.7
Lesotho,LSO,AF,49.0,39.0,44.0,49.0,45.0,3.4847,3.5,3.3,3.2,3.3,3.2,3.4
Namibia,NAM,AF,49.0,52.0,53.0,48.0,48.0,4.359042,4.4,4.5,4.5,4.5,4.1,4.3
Rwanda,RWA,AF,49.0,54.0,54.0,53.0,53.0,4.91978,4.0,3.3,3.0,2.8,2.5,3.1
Saudi Arabia,SAU,ME,49.0,46.0,52.0,46.0,44.0,4.321366,4.7,4.3,3.5,3.4,3.3,3.4
Croatia,HRV,EU,48.0,49.0,51.0,48.0,46.0,4.070874,4.1,4.1,4.4,4.1,3.4,3.4
Ghana,GHA,AF,48.0,43.0,47.0,46.0,45.0,3.915675,4.1,3.9,3.9,3.7,3.3,3.5
Cuba,CUB,AM,46.0,47.0,47.0,46.0,48.0,4.09232,3.7,4.4,4.3,4.2,3.5,3.8
Oman,OMN,ME,45.0,45.0,45.0,47.0,47.0,4.772299,5.3,5.5,5.5,4.7,5.4,6.3
The FYR of Macedonia,MKD,EE,45.0,37.0,42.0,44.0,43.0,3.871138,4.1,3.8,3.6,3.3,2.7,2.7
Turkey,TUR,EE,45.0,41.0,42.0,50.0,49.0,4.296146,4.4,4.4,4.6,4.1,3.8,3.5
Kuwait,KWT,ME,44.0,41.0,49.0,43.0,44.0,4.551208,4.5,4.1,4.3,4.3,4.8,4.7
South Africa,ZAF,AF,44.0,45.0,44.0,42.0,43.0,4.199192,4.5,4.7,4.9,5.1,4.6,4.5
Brazil,BRA,AM,43.0,40.0,38.0,42.0,43.0,3.953224,3.7,3.7,3.5,3.5,3.3,37
Bulgaria,BGR,EU,43.0,41.0,41.0,41.0,41.0,3.371695,3.6,3.8,3.6,4.1,4.0,4.0
Greece,GRC,EU,43.0,44.0,46.0,40.0,36.0,3.3683,3.5,3.8,4.7,4.6,4.4,4.3
Italy,ITA,EU,43.0,47.0,44.0,43.0,42.0,4.133442,3.9,4.3,4.8,5.2,4.9,5.0
Romania,ROM,EU,43.0,48.0,46.0,,44.0,3.749008,3.7,3.8,3.8,3.7,3.1,3.0
Romania,ROU,EU,,,,43.0,44.0,3.749008,3.7,3.8,3.8,3.7,3.1,3.0
Senegal,SEN,AF,43.0,45.0,44.0,41.0,36.0,2.948108,2.9,3.0,3.4,3.6,3.3,3.2
Swaziland,SWZ,AF,43.0,,,39.0,37.0,3.083483,3.2,3.6,3.6,3.3,2.5,2.7
Montenegro,MON,EE,42.0,45.0,44.0,,41.0,3.898719,3.7,3.9,3.4,3.3,,
Montenegro,MNE,EE,,,,44.0,41.0,3.898719,3.7,3.9,3.4,3.3,,
Sao Tome and Principe,STP,AF,42.0,46.0,42.0,42.0,42.0,2.912708,3.0,2.8,2.7,2.7,,
Serbia,SCG,EE,41.0,42.0,40.0,,39.0,3.270253,3.5,3.5,3.4,3.4,3.0,2.8
Serbia,SRB,EE,,,,42.0,39.0,3.270253,3.5,3.5,3.4,3.4,3.0,2.8
Tunisia,TUN,ME,40.0,41.0,38.0,41.0,41.0,3.708121,4.3,4.2,4.4,4.2,4.6,4.9
Benin,BEN,AF,39.0,36.0,37.0,36.0,36.0,2.95066,2.8,2.9,3.1,2.7,2.5,2.9
Bosnia and Herzegovina,BIH,EE,39.0,39.0,38.0,42.0,42.0,3.132854,3.2,3.0,3.2,3.3,2.9,2.9
El Salvador,SLV,AM,39.0,36.0,39.0,38.0,38.0,3.587543,3.6,3.4,3.9,4.0,4.0,4.2
Mongolia,MNG,AP,39.0,38.0,39.0,38.0,36.0,2.646972,2.7,2.7,3.0,3.0,2.8,3.0
