Country Name,Country Code,ExportsGDPpc_1960,ExportsGDPpc_1961,ExportsGDPpc_1962,ExportsGDPpc_1963,ExportsGDPpc_1964,ExportsGDPpc_1965,ExportsGDPpc_1966,ExportsGDPpc_1967,ExportsGDPpc_1968,ExportsGDPpc_1969,ExportsGDPpc_1970,ExportsGDPpc_1971,ExportsGDPpc_1972,ExportsGDPpc_1973,ExportsGDPpc_1974,ExportsGDPpc_1975,ExportsGDPpc_1976,ExportsGDPpc_1977,ExportsGDPpc_1978,ExportsGDPpc_1979,ExportsGDPpc_1980,ExportsGDPpc_1981,ExportsGDPpc_1982,ExportsGDPpc_1983,ExportsGDPpc_1984,ExportsGDPpc_1985,ExportsGDPpc_1986,ExportsGDPpc_1987,ExportsGDPpc_1988,ExportsGDPpc_1989,ExportsGDPpc_1990,ExportsGDPpc_1991,ExportsGDPpc_1992,ExportsGDPpc_1993,ExportsGDPpc_1994,ExportsGDPpc_1995,ExportsGDPpc_1996,ExportsGDPpc_1997,ExportsGDPpc_1998,ExportsGDPpc_1999,ExportsGDPpc_2000,ExportsGDPpc_2001,ExportsGDPpc_2002,ExportsGDPpc_2003,ExportsGDPpc_2004,ExportsGDPpc_2005,ExportsGDPpc_2006,ExportsGDPpc_2007,ExportsGDPpc_2008,ExportsGDPpc_2009,ExportsGDPpc_2010,ExportsGDPpc_2011,ExportsGDPpc_2012,ExportsGDPpc_2013,ExportsGDPpc_2014,ExportsGDPpc_2015,ExportsGDPpc_2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4283914322,84.8561759729,86.6396761134,82.5309992706,79.637705468,79.9491538065,74.3860109498,70.4879162824,64.9345528642,63.1063560458,65.0804037487,68.5478729778,65.491274536,65.9129090572,66.2606726015,63.7863311492,61.5024483891,70.7720608103,,,,,
Afghanistan,AFG,4.13223321494,4.45344326575,4.87805112036,9.17160109415,8.88889256173,11.258279131,8.57142877551,6.77290842315,8.89967664483,10.0946369851,9.78400228347,10.9223422551,14.7632312416,12.9487180787,14.0206189325,12.6760568935,13.2173912469,11.6629043317,10.841750282,,,,,,,,,,,,,,,,,,,,,,,,32.3867187435,43.5568692887,33.9964942565,27.3952555551,26.4702926571,17.8237142692,17.9929746902,14.7075889501,10.0238497501,6.10727400467,5.51685032453,6.3078950412,6.56770005026,7.00211692002,6.89624956361
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,33.3333333333,33.3333333333,25.0,69.2307692308,53.9033457249,85.3595614318,,82.7222609884,68.491938223,56.7231384916,86.2964935065,89.627894827,75.3889911664,68.2909568171,68.4247367949,70.2503132572,86.0186319629,79.7962567674,73.9581879835,76.3184268173,54.9076882616,62.3877390034,65.3527091446,62.3133984075,55.6889427105,47.9986914313,33.9270643311,33.01989232
Albania,ALB,,,,,,,,,,,,,,,,,,,,,23.1155877405,22.9826424624,19.3750006044,18.1966040097,17.4130828745,16.2355450687,15.0575048013,15.4662970134,16.3822900988,17.9401526575,14.8694465271,7.22457950301,11.4904380544,15.4225232597,11.3516873339,12.4753742627,11.1957672128,9.74565429485,10.8443029113,15.8167310392,17.8670840191,18.4315710845,19.5988742675,20.355910909,21.9829364121,22.824073563,24.933995517,28.0842219492,29.5902278535,29.6008670019,32.4400168293,34.0136853608,33.3516426236,35.4490589255,28.2309080287,27.2591711504,28.7398352217
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,37.2150546679,38.7749091527,41.2211436439,57.3073913208,49.9283071307,50.9964507902,45.6955886743,43.7161255258,39.9527683804,45.4017679454,50.5253067086,47.415109476,39.5303099787,34.3946518528,32.5081336222,29.7985795319,24.5327155733,27.6784972013,27.9709778151,29.7377804388,31.9567763185,28.7172676802,30.2274873433,28.4689759884,29.4120192246,31.2763500947,32.6722710027,37.3182778502,33.0199534296,36.3116307455,42.6089610814,40.8072901489,41.6120539973,45.5606234497,48.8407795656,52.645029237,53.7650797118,53.7283027166,56.9710293703,47.4290420676,49.9672112289,54.8411968499,55.7413591195,53.9246268883,51.2547145542,44.1003009383,40.9642075206
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1592253276,49.5033473841,55.9231992152,63.5677906002,67.5854343933,68.627830771,72.3840975003,78.8678887015,79.6533178622,77.7130352394,89.7198009464,100.261455893,100.549137784,99.1001486421,100.405575224,103.821197593
Argentina,ARG,7.60404910826,5.99494699478,4.691842759,7.89045420262,5.56371560479,6.22587443767,6.6529173836,7.49559622625,6.48445346278,6.39871331653,5.601566676,6.00723288129,7.19776583908,7.61266772119,6.90257079761,5.82405179866,9.17538829665,9.61589241277,8.60838993812,6.51091546669,5.06197268097,6.92104948036,9.0904930786,9.15152068682,7.58989531179,11.7360980207,8.1619775443,7.8732058134,9.53161297293,13.0584089086,10.3595365925,7.67504334832,6.59818747204,6.90935166056,7.52990988191,9.68049474532,10.4285416393,10.5607988827,10.4155150599,9.82715687969,10.9863962034,11.579131493,28.3826540406,25.9309089023,23.847619424,23.2458767339,23.0266946038,22.6627503115,22.0609003826,19.5609850561,18.9338234054,18.4492091453,16.237859462,14.6171733884,14.4098189923,11.0084679085,12.7110008604
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0029815146,40.74538838,39.8207529671,47.218977187,39.3280401333,23.9279214541,23.240002799,20.2732698898,19.0030205066,20.758259915,23.3752785095,25.4683909063,29.3565510388,32.1526450093,29.7348288898,28.8092203202,23.3589858677,19.1856439468,15.0471034975,15.474468679,20.8300947225,23.7568534603,27.5667218764,28.3591264996,28.5651387021,29.7961959735,33.1427502396
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.778210117,97.3434535104,89.84375,99.0059642147,99.7983870968,97.1153846154,113.854351687,78.1710914454,63.1944444444,58.362369338,74.8447204969,71.3615023474,66.3009404389,66.3026521061,
