Country,WB_Code,Region,Income_Group,GDP_Total,GDP_perCap,Corr_Perc_Index,Life_Expect,School_Enrl,Adult_Lit,BusReg,Comm_Tax,Elec_Access,Elec_Consumption,ElecGen_OilGasCoal,Emissions,FossFuel_Cons,Inf_Mortality,Inflation,OreMetal_exports,Imp_San_Access,Tech_Exports
Afghanistan,AFG,South Asia,Low income,14960508610.7,493.951087568,12.7689350909,58.9291485587,0.621512716467,34.954580307,3.66666666667,37.625,51.305418129,,,0.293518118837,,75.1818181818,6.82521889748,0.446065115154,29.2545454545,
Angola,AGO,Sub-Saharan Africa,Lower middle income,86367673096.3,3529.04292928,18.33299625,50.6415121951,0.775602504611,71.0776252747,9.0,51.6166666667,35.4639608002,197.167151688,31.0508860976,1.19624669577,40.2880830222,109.209090909,14.5019189367,2.16370583231,45.9454545455,
Albania,ALB,Europe & Central Asia,Upper middle income,11602793249.0,3972.70023994,29.4278810833,77.0488514412,0.97008364309,96.8962020874,7.16666666667,42.6833333333,100.0,1871.69799755,0.692731611677,1.52081391777,62.3646956068,15.0363636364,2.42551326889,15.9375469042,90.7090909091,1.81151327361
United Arab Emirates,ARE,Middle East & North Africa,High income,3.12132991674e+11,40455.3459163,59.8220083333,76.6509334812,,91.5101089478,7.41666666667,14.6833333333,100.0,11289.0111798,99.963216893,21.3504275178,99.9087932653,7.21818181818,,1.66995545419,97.5090909091,3.58272271754
Argentina,ARG,Latin America & Caribbean,Upper middle income,4.26837910762e+11,10197.9180668,28.9248101667,75.4969800443,1.03943397999,98.0619964599,13.75,113.266666667,98.5654922791,2736.94420049,63.39610115,4.47143538624,89.2086215507,13.0545454545,9.4593576534,3.68722008521,94.8363636364,7.47565660939
Armenia,ARM,Europe & Central Asia,Lower middle income,9552534087.09,3285.72537887,28.9663003333,74.1542372506,1.11387497186,99.7564125061,5.75,33.3333333333,99.8301034546,1759.13605876,30.5757783854,1.68224362191,71.3977072515,16.3545454545,4.15961492488,37.4148639435,89.4909090909,2.40497988042
Australia,AUS,East Asia & Pacific,High income,1.16050073922e+12,51818.3543623,77.9047154167,81.6955654102,0.987081009151,,3.0,48.5916666667,100.0,10553.0365275,89.6520691933,17.2997410954,94.2137268757,3.97272727273,2.52894684382,30.8592136292,100.0,12.3402358132
Austria,AUT,Europe & Central Asia,High income,3.93111976954e+11,46673.8756038,71.8154550833,80.6478935699,0.967135456475,,8.0,51.95,100.0,8283.47104932,28.078130519,8.06957477124,70.0215380911,3.51818181818,1.88101305463,3.43176473665,100.0,12.5801587384
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,49107699201.9,5341.74674275,23.1923974167,70.214210643,,99.7588634491,6.5,40.95,99.9135978699,2037.64707424,89.073798231,3.83609392786,97.8554858187,34.7272727273,6.95770732767,0.713294921938,81.5636363636,3.70655953687
Burundi,BDI,Sub-Saharan Africa,Low income,2155445009.07,235.854256788,19.1632890833,54.8573037694,0.912827992439,86.2219810486,6.0,151.25,5.66585122109,,,0.0251363265483,,65.1545454545,9.77798644301,6.50578144802,46.9181818182,4.07735399317
Belgium,BEL,Europe & Central Asia,High income,4.79487122267e+11,43812.9186295,68.3784054167,80.1931263858,1.00968908722,,3.16666666667,57.975,100.0,8230.49525742,37.59184025,9.4210022449,72.8286756491,3.65454545455,1.94865116938,3.16846269144,99.5,10.2138532652
Benin,BEN,Sub-Saharan Africa,Low income,7401723336.54,783.434843233,29.662555,58.5854944568,0.824857503176,33.5746250152,9.58333333333,65.025,32.7840930939,87.9905395272,98.9962463081,0.510157683653,39.841093511,71.2090909091,2.63322070995,1.85855028718,17.2636363636,1.19235183457
Burkina Faso,BFA,Sub-Saharan Africa,Low income,9440564112.98,584.406060232,32.8363455,56.7076762749,0.87195545435,29.4203243256,4.75,43.9333333333,14.7275068092,,,0.128552924738,,71.4,2.62089338435,2.3443825985,17.2818181818,8.05548437875
Bangladesh,BGD,South Asia,Lower middle income,1.27635458154e+11,822.613790847,21.4798343333,70.0458137472,1.07346888383,61.0345249176,8.83333333333,37.5166666667,53.6740816345,235.739694206,97.9689455441,0.360623709195,69.3606071958,39.8181818182,7.37690741854,0.360876270196,55.7363636364,0.389508431805
Bulgaria,BGR,Europe & Central Asia,Upper middle income,49363202006.0,6708.28311551,36.7809745833,73.6359201774,0.97056272355,98.3705139161,7.25,31.4916666667,100.0,4574.83190467,53.7490488042,6.26647789975,73.3973816889,11.2545454545,3.66557716901,16.1190042243,85.9363636364,7.01645620619
Bahrain,BHR,Middle East & North Africa,High income,26645303922.9,21907.2252334,47.1705281667,76.12572949,1.02677858727,95.1370277405,7.0,13.86,100.0,19145.385559,100.0,23.3049580778,99.9573399413,7.21818181818,2.39241126095,17.5102658328,99.2,0.580781891107
"Bahamas, The",BHS,Latin America & Caribbean,High income,8274817166.67,22857.4593892,57.2490644,74.5630399113,1.00973332922,,7.2,41.8,99.370765686,,,5.50393739906,0.0,11.3545454545,1.91079044243,8.54901485097,91.2818181818,0.0356084316278
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,16581702775.9,4518.08595537,32.3444045,75.8232128603,,98.4317054748,12.5833333333,29.8166666667,99.8679553223,2967.10000174,61.8086015422,5.42896958495,90.2620822483,6.33636363636,,11.9213307116,94.8090909091,2.66529778649
Belarus,BLR,Europe & Central Asia,Upper middle income,55443120954.7,5832.34098017,25.195655,71.0288248337,0.981598742306,99.6695480347,8.66666666667,85.725,100.0,3500.35024532,99.5738210037,6.51753001664,92.0111914617,4.98181818182,19.630334188,0.719804561376,94.4636363636,3.30400298756
Belize,BLZ,Latin America & Caribbean,Upper middle income,1467774712.5,4492.49641608,32.75,69.7179889135,0.993581826036,82.7768173218,9.0,32.8916666667,89.6568286386,,,1.50487397362,0.0,16.3272727273,0.366966479614,0.0328659476498,88.8454545455,1.73480525122
Bolivia,BOL,Latin America & Caribbean,Lower middle income,22441225566.3,2203.45364447,28.2445330833,66.2966807095,0.979719086127,92.4063428243,14.0,81.5166666667,83.8856351877,599.198896313,63.3670373817,1.54897082014,83.7783720896,37.5454545455,5.9850819543,26.3493293799,46.5818181818,9.10382928086
