Country Name,Country Code,OreMetals_1960,OreMetals_1961,OreMetals_1962,OreMetals_1963,OreMetals_1964,OreMetals_1965,OreMetals_1966,OreMetals_1967,OreMetals_1968,OreMetals_1969,OreMetals_1970,OreMetals_1971,OreMetals_1972,OreMetals_1973,OreMetals_1974,OreMetals_1975,OreMetals_1976,OreMetals_1977,OreMetals_1978,OreMetals_1979,OreMetals_1980,OreMetals_1981,OreMetals_1982,OreMetals_1983,OreMetals_1984,OreMetals_1985,OreMetals_1986,OreMetals_1987,OreMetals_1988,OreMetals_1989,OreMetals_1990,OreMetals_1991,OreMetals_1992,OreMetals_1993,OreMetals_1994,OreMetals_1995,OreMetals_1996,OreMetals_1997,OreMetals_1998,OreMetals_1999,OreMetals_2000,OreMetals_2001,OreMetals_2002,OreMetals_2003,OreMetals_2004,OreMetals_2005,OreMetals_2006,OreMetals_2007,OreMetals_2008,OreMetals_2009,OreMetals_2010,OreMetals_2011,OreMetals_2012,OreMetals_2013,OreMetals_2014,OreMetals_2015,OreMetals_2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2077395813,0.331029289299,1.09653600945,0.498886674102,,,,0.0185477452006,2.83349047742,0.292134366878,0.131848277757,,,,,,,0.0970914784468,,,,0.173309675737,0.203950088364,1.29830120988,2.01302957951,1.85008348587,2.58872883529,4.37949978972,
Afghanistan,AFG,,,,,,,0.0721230987705,0.074926260815,,,,,,,0.065457059794,,0.000120402639269,0.00120959845685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137976802487,0.275244541511,0.305786388426,,,,1.06525272819,
Angola,AGO,,,3.87910351087,,,,,,,12.1507729059,12.1220461768,10.1297315544,7.76427427113,6.70517230949,4.14612510455,,,,0.074690706754,0.0579575801793,0.103770390935,0.223165654613,,,,,,,,,6.22259790016,4.85604896004,,,,,,,,,,,,,,,,2.67542615278,,2.00203146976,2.03762924921,1.82030992034,1.56671569765,1.70731147242,2.18366736283,3.31655533347,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6338824782,9.32593913025,12.5975232565,3.91537546577,3.70705652467,2.9129959025,3.43255983969,4.09518729938,5.52230659112,24.1407825765,37.8643455708,13.5595286569,32.6331406668,9.55774646967,12.8293490736,11.9034256292,10.9127016879,9.78399273477,4.58216014292,7.54584273709,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28489383752,2.2041498093,1.66181314838,1.51473404443,2.13494945631,2.25216572391,2.32009612958,2.15483824992,2.38234100598,2.59315224081,2.1958594176,1.83303149547,2.86928163799,3.64090032733,2.89921356734,4.41550906166,3.56068952948,3.70564225299,3.28325859062,4.05248977534,,
Arab World,ARB,,,,,,,,,,,,,,,3.13068841721,3.00791135886,,,2.06306130583,2.60459779524,,,,,,,,,,15.6762959986,,23.1348314053,20.1282772706,16.787282559,,,,,1.35650362996,1.95009536395,1.76970983349,2.028250234,1.48744791383,,1.37187835834,1.47150777112,1.17982940416,1.31884215673,1.64392922259,1.42300586598,1.63407913318,1.68864935033,2.19173368433,1.93330082047,2.20579815592,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,0.0309864749845,0.0249046521645,,,,42.4517103937,,,,,,47.7722864487,,78.0927765119,67.7339781897,54.8863832407,,,,,,4.01394783837,3.17134906915,3.71006746665,,,,0.967613926569,,1.24881895793,0.941097684638,,,,1.82338313178,2.15910270692,2.87971631732,,
Argentina,ARG,,,0.813335466393,0.83381856851,0.500304019045,0.268986496529,0.286643986535,0.468486610903,0.645334987792,0.515775152455,0.471868854172,0.529028631535,0.46315257921,0.376045074875,0.47533124127,0.298571509047,0.301816725317,0.266728514133,0.568331488521,0.96245111634,2.17293302193,1.75455167719,1.58668728648,1.30530313654,1.30632882063,1.72413806492,1.8256666853,2.41126818011,2.42447333539,2.58026208004,2.44684969261,1.69958763239,1.16825028211,1.16058168918,1.31531754098,1.63234340659,1.16701595186,1.54608126867,2.73097287217,3.29062647796,2.96449140896,3.06550308832,3.88527869356,3.02021293295,3.93881326983,3.23247780915,4.27550991313,3.85692914238,3.23533521543,3.82929125277,4.42314889701,4.05204885673,4.17906391966,3.25833309368,3.35412583507,2.86315700233,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4384745884,,13.4950389913,26.9906991475,29.5760611967,15.7174694691,20.4860744571,23.5473360167,11.91156385,24.7058996723,31.6212240215,28.6398445089,46.5400268526,52.4800313527,51.0088583631,42.8151861903,39.6241477887,37.5731574136,44.4359563554,37.6224709531
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,0.0,0.0,0.000743599654387,,0.00502904910841,0.00298791053523,,,0.0,,,,,,,,,,,,,,,,,,8.98954714101,6.4643343249,,,,,1.57477540955,,0.54754745232,,6.14438097067,1.77617053611,1.98029913853,2.70233010176,30.990827068,17.5317077381,15.6204515801,7.50610085292
