Country Name,Country Code,CommTotTax_1960,CommTotTax_1961,CommTotTax_1962,CommTotTax_1963,CommTotTax_1964,CommTotTax_1965,CommTotTax_1966,CommTotTax_1967,CommTotTax_1968,CommTotTax_1969,CommTotTax_1970,CommTotTax_1971,CommTotTax_1972,CommTotTax_1973,CommTotTax_1974,CommTotTax_1975,CommTotTax_1976,CommTotTax_1977,CommTotTax_1978,CommTotTax_1979,CommTotTax_1980,CommTotTax_1981,CommTotTax_1982,CommTotTax_1983,CommTotTax_1984,CommTotTax_1985,CommTotTax_1986,CommTotTax_1987,CommTotTax_1988,CommTotTax_1989,CommTotTax_1990,CommTotTax_1991,CommTotTax_1992,CommTotTax_1993,CommTotTax_1994,CommTotTax_1995,CommTotTax_1996,CommTotTax_1997,CommTotTax_1998,CommTotTax_1999,CommTotTax_2000,CommTotTax_2001,CommTotTax_2002,CommTotTax_2003,CommTotTax_2004,CommTotTax_2005,CommTotTax_2006,CommTotTax_2007,CommTotTax_2008,CommTotTax_2009,CommTotTax_2010,CommTotTax_2011,CommTotTax_2012,CommTotTax_2013,CommTotTax_2014,CommTotTax_2015,CommTotTax_2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,35.8,36.5,36.5,48.3
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52.0,52.6,49.0,48.0
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,56.5,51.3,49.6,43.6,40.3,38.3,38.5,31.5,31.4,36.5,36.5
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7333333333,49.3333333333,45.56,44.555,44.405,43.505,41.885,42.2380952381,42.3142857143,42.8952380952,42.9142857143,42.480952381
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,14.4,14.4,14.4,14.1,14.1,14.1,14.9,14.8,14.8,15.9,15.9
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3,107.3,107.3,107.3,107.3,107.4,107.4,107.5,119.4,137.4,137.6,106.0
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,36.6,38.9,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20.0,18.5
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,47.6,46.2,46.2,41.0,41.0,41.0,41.0,40.9,41.6,41.9,41.9
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,51.1,50.1,50.0,47.8,47.6,47.3,47.2,47.3,47.4,47.6,47.6
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,42.2,40.9,40.9,40.9,40.9,40.0,40.0,39.8,39.8,39.8,39.8
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.2,280.2,280.2,280.2,280.2,154.9,46.5,46.5,45.2,40.3,40.3,40.3
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2,58.0,58.4,58.4,58.7
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1,72.1,72.1,72.1,68.4,62.7,62.7,62.7,63.3,57.3,57.4,57.4
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,47.6,47.6,44.5,44.5,44.8,42.7,42.7,41.3,41.3,41.3,41.3
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,38.8,40.8,39.9,38.8,38.8,38.8,38.8,32.5,35.4,34.4,34.4
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,41.6,35.8,33.9,30.4,28.0,27.2,27.8,27.0,27.0,27.0,27.0
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,14.7,13.5,13.5,13.5,13.5,13.5,13.5,13.5
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,42.9,42.9,42.9,44.6,44.6,48.5,41.1,33.8,33.8
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,42.7,42.8,42.8,25.9,22.2,23.6,23.6,22.2,23.3,23.3,22.6
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.2,137.2,120.8,117.4,99.9,80.8,63.0,59.2,52.0,52.4,54.0,54.8
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,34.8,34.8,33.2,33.2,33.2,33.2,33.2,31.1,31.1,31.1,31.1
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,83.4,83.7,83.7,83.7,83.7
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2,69.2,69.2,68.5,65.7,66.8,66.8,68.6,69.2,69.2,68.1,68.4
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,34.7,34.6,34.6,34.7,34.7
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,37.4,37.4,30.1,15.7,16.7,15.4,15.8,15.8,8.7,8.7
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,35.3,35.3,35.3,35.3
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,17.1,17.1,17.1,17.0,19.5,19.5,25.4,25.3,25.1,25.1,25.1
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7,203.8,203.8,203.8,203.8,203.8,54.6,67.4,73.3,73.3,73.3,73.3
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,45.0,44.3,44.1,42.3,22.0,20.7,20.1,19.9,21.1,21.1,21.0
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8090909091,44.0545454545,42.9181818182,42.6,41.9363636364,41.2454545455,41.3727272727,41.9181818182,39.7454545455,39.7,39.8818181818,39.3727272727
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,27.6,27.9,27.8,28.7,28.8,28.9,29.4,28.4,28.8,28.8,28.8
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,25.1,25.1,25.1,24.8,24.5,24.5,27.7,27.7,27.9,28.9,30.5
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8,83.6,84.0,82.7,81.4,66.3,66.4,67.6,68.7,68.5,67.8,68.0
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,53.4,50.6,50.6,50.4,50.2,50.1,44.4,52.5,51.9,51.9,51.3
