Country Name,Country Code,ElecAcc_1960,ElecAcc_1961,ElecAcc_1962,ElecAcc_1963,ElecAcc_1964,ElecAcc_1965,ElecAcc_1966,ElecAcc_1967,ElecAcc_1968,ElecAcc_1969,ElecAcc_1970,ElecAcc_1971,ElecAcc_1972,ElecAcc_1973,ElecAcc_1974,ElecAcc_1975,ElecAcc_1976,ElecAcc_1977,ElecAcc_1978,ElecAcc_1979,ElecAcc_1980,ElecAcc_1981,ElecAcc_1982,ElecAcc_1983,ElecAcc_1984,ElecAcc_1985,ElecAcc_1986,ElecAcc_1987,ElecAcc_1988,ElecAcc_1989,ElecAcc_1990,ElecAcc_1991,ElecAcc_1992,ElecAcc_1993,ElecAcc_1994,ElecAcc_1995,ElecAcc_1996,ElecAcc_1997,ElecAcc_1998,ElecAcc_1999,ElecAcc_2000,ElecAcc_2001,ElecAcc_2002,ElecAcc_2003,ElecAcc_2004,ElecAcc_2005,ElecAcc_2006,ElecAcc_2007,ElecAcc_2008,ElecAcc_2009,ElecAcc_2010,ElecAcc_2011,ElecAcc_2012,ElecAcc_2013,ElecAcc_2014,ElecAcc_2015
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9610443115,89.2513427734,89.5411911011,89.828338623,90.1100692749,90.3836898804,90.6464767456,90.8957443237,91.1287689209,91.3439559937,91.6603980031,91.7331085205,91.9148635864,92.0932769775,92.2722473145,92.4556655884,92.6474304199,92.8505096436,93.0640869141,93.2864151001,93.356292151,93.7503128052,93.9883880615,94.2282104492,94.4683227539,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0168709289283,0.163712739944,1.00609898567,3.46720504761,7.20917892456,13.969171524,23.0,27.5064105988,34.290512085,42.4,47.8884658813,42.7,61.5144195557,69.1,75.1543731689,89.5,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8336296082,47.2611160278,46.6881484985,46.1124801636,45.5313949585,44.9421958923,44.34217453,43.7286224365,43.0988349915,42.4512062073,41.7885398865,41.1147270203,40.4336700439,39.7492675781,39.0654182434,38.3860244751,37.7149772644,37.5,36.40599823,35.7655067444,35.132019043,34.6,33.8790359497,33.2560462952,32.0,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1486980045,76.5635451422,74.0668664915,74.8460702739,75.303934953,76.0423297978,76.7685691929,77.1470797699,77.9857917977,78.5530124004,79.2361658071,79.7682939816,80.22959251,80.9683547098,82.6287938098,83.3519794066,83.7879013367,84.3916648755,85.0422475454,84.6553377205,85.9553450727,86.3923126927,86.8469662173,87.6049612449,88.039124749,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7590866089,91.2247314453,91.6899185181,92.1524047852,92.6094818115,93.0584335327,93.4965667725,93.9211730957,94.3295440674,94.7200698853,95.0955581665,95.5110634674,95.8170089722,96.1707611084,96.5250701904,96.8838272095,97.2509384155,97.6293563843,98.0248184204,98.4211883545,98.82,99.2201919556,99.573059082,99.8315429688,100.0,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2518234253,97.4521865845,97.6521072388,97.849319458,98.0350341797,98.2166900635,98.3875350952,98.5450592041,98.6874313354,98.8143081665,98.9,100.0,98.0,99.2153549194,99.3073043823,99.8,99.5071563721,99.6199874878,99.7395172119,99.8528900146,99.8,99.983543396,99.9979400635,100.0,100.0,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
