Country Name,Country Code,GDPpc_1960,GDPpc_1961,GDPpc_1962,GDPpc_1963,GDPpc_1964,GDPpc_1965,GDPpc_1966,GDPpc_1967,GDPpc_1968,GDPpc_1969,GDPpc_1970,GDPpc_1971,GDPpc_1972,GDPpc_1973,GDPpc_1974,GDPpc_1975,GDPpc_1976,GDPpc_1977,GDPpc_1978,GDPpc_1979,GDPpc_1980,GDPpc_1981,GDPpc_1982,GDPpc_1983,GDPpc_1984,GDPpc_1985,GDPpc_1986,GDPpc_1987,GDPpc_1988,GDPpc_1989,GDPpc_1990,GDPpc_1991,GDPpc_1992,GDPpc_1993,GDPpc_1994,GDPpc_1995,GDPpc_1996,GDPpc_1997,GDPpc_1998,GDPpc_1999,GDPpc_2000,GDPpc_2001,GDPpc_2002,GDPpc_2003,GDPpc_2004,GDPpc_2005,GDPpc_2006,GDPpc_2007,GDPpc_2008,GDPpc_2009,GDPpc_2010,GDPpc_2011,GDPpc_2012,GDPpc_2013,GDPpc_2014,GDPpc_2015,GDPpc_2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719396,16441.7906362,16585.1955307,17926.5728361,19081.3516561,19356.2033895,20620.7006259,20670.6556635,20434.2994364,20834.510199,22567.8249249,23302.831988,24014.9442671,25921.026052,27546.8993898,24631.4348604,24271.9404205,25324.7203625,,,,,
Afghanistan,AFG,59.7773265084,59.8781528089,58.4928738323,78.7827580363,82.2084438594,101.290471274,137.899361897,161.322000088,129.506653844,129.798541408,157.187422389,160.372835554,136.117014381,144.110318929,174.94203832,187.975604014,199.026172729,226.005343759,249.287386262,277.900741665,274.880858702,266.493041809,,,,,,,,,,,,,,,,,,,,117.409690795,187.845094955,198.728543552,219.141352785,250.294129909,272.563077018,369.83579597,373.3611163,445.893297924,553.300289383,603.537023062,669.009050888,631.744970642,612.069651391,584.025902056,561.77874627
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,630.074984962,612.074840385,595.857754389,580.555024871,847.766724207,823.792184337,965.36129635,438.320519601,393.78452085,293.278222405,353.182045099,512.620965888,506.884952193,415.693345858,385.768853473,555.296941863,526.168742997,711.181715953,779.468305599,1041.08684393,1443.99192856,2062.41514943,2878.83714393,3868.5788829,3347.84485034,3529.05348174,4299.01288878,4598.24998765,4804.61688355,4709.31202367,3695.79374815,3110.80818263
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,662.520052309,662.914792567,719.157295704,699.384292087,676.56673252,723.409610238,639.46389929,348.711317787,218.492165903,380.527371084,619.065163447,760.559375774,1046.35851071,749.584649015,865.30216177,1098.42546341,1175.78898079,1326.9703393,1453.64277657,1890.68155734,2416.58823505,2709.14293061,3005.01290332,3603.01368537,4370.53964653,4114.13654491,4094.35883192,4437.17806844,4247.61430826,4414.72313957,4575.76378666,3954.02278326,4146.89625046
Andorra,AND,,,,,,,,,,,3238.55684977,3498.17365152,4217.17358114,5342.16856044,6319.73903385,7169.1010056,7152.37513361,7751.37021576,9129.70618518,11820.8493928,12377.4116457,10372.2328347,9610.26630832,8022.65478128,7728.90669457,7774.39382903,10361.815982,12616.1675659,14304.3569646,15166.4378508,18878.5059693,19532.5401505,20547.7117898,16516.4710272,16234.8090102,18461.0648582,19017.1745902,18353.0597218,18894.5214963,19261.7105039,21435.9264041,22037.3605544,24518.3430618,32438.6839009,38255.950499,41185.9890207,43666.985145,48510.4672826,47712.2990809,43215.687013,39627.6635163,40919.1832786,38167.0957462,40215.4353174,,,
Arab World,ARB,,,,,,,,,222.688851119,238.909677072,256.420887291,289.545005994,335.083670169,414.097398682,769.190157215,826.003250352,996.654547278,1114.4003484,1182.82729407,1550.23598341,2041.03141797,2037.93523203,1837.65992069,1670.07037485,1641.38122155,1572.05082628,1451.72375306,1525.70405636,1458.4333023,1486.82597568,1988.45873977,1905.20915542,2004.63397955,1974.89059007,1970.31573499,2053.72142086,2216.77512378,2300.58812691,2172.84800553,2316.45929253,2589.64845015,2495.36631201,2462.79144163,2721.61572083,3117.66080601,3745.79092992,4336.71858341,4937.59821773,6114.03995936,5157.25289828,5916.32962351,6856.59367846,7341.239892,7435.88912093,7446.36966072,6430.07195737,6153.06954729
United Arab Emirates,ARE,,,,,,,,,,,,,,,,26556.0800299,29698.1692221,33245.8360986,27897.3270936,32798.4782339,41825.9954576,44012.3330673,39193.7409726,34159.0373527,31709.2543341,29189.1677892,23056.1045272,23312.9295262,21907.5979774,23612.745197,27256.2909428,26168.2666231,25993.5580078,25199.3495771,25467.1922191,26847.0800532,28615.582141,29199.5246109,26663.3087045,28260.0050168,33071.2686869,31061.5293454,31311.3593562,33230.5231807,36161.1706068,39439.8019679,42372.2216624,42672.6132295,45758.9055357,33072.5751664,35049.1483168,40462.3120904,42112.2356484,43350.6426817,44449.7403487,39101.7468901,37622.2074576
Argentina,ARG,,,1148.57995707,845.077184202,1166.31739958,1272.01049601,1266.34498858,1057.75566147,1136.51783223,1324.08293471,1317.48775503,1366.35472649,1401.48779454,2083.97221813,2824.65091519,2011.68904032,1932.59078207,2112.50117337,2129.31379311,2501.48075288,2738.28472318,2756.39698132,2907.75762701,3530.13178314,2643.36939813,2909.51661013,3595.08589823,3546.71882016,3969.32741166,2375.33910273,4318.77469951,5715.50439657,6798.02676273,6940.35035807,7449.48038977,7373.42824568,7683.57406484,8172.66432306,8248.76198864,7736.36962254,7669.27391554,7170.69467365,2579.19316821,3330.43700584,4251.5743482,5076.88382917,5878.76102735,7193.61763974,8953.35927526,8161.30696649,10276.2604977,12726.9083595,12969.7071239,12976.6364245,12245.2564488,13467.102357,12449.2168521
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.855741162,590.122225742,369.633387195,357.204338517,400.516091946,456.375899741,504.059514014,523.283569101,609.173025422,597.433481747,622.742747688,694.430511932,783.26160987,930.166156702,1191.96191991,1643.75839706,2158.00290895,3138.80870341,4010.02699723,2993.83253109,3218.38165488,3526.97814268,3684.80481033,3843.59121309,3994.7123548,3609.65477583,3606.15205715
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8751.76652875,8914.52543262,8639.30885529,8508.40691498,8456.94799659,8980.53641435,9871.99719446,12058.2638234,10352.8227618,10375.9942155,11660.3295311,11553.6912145,11508.5592655,11541.8549796,
