Country Name,Country Code,Infant_1960,Infant_1961,Infant_1962,Infant_1963,Infant_1964,Infant_1965,Infant_1966,Infant_1967,Infant_1968,Infant_1969,Infant_1970,Infant_1971,Infant_1972,Infant_1973,Infant_1974,Infant_1975,Infant_1976,Infant_1977,Infant_1978,Infant_1979,Infant_1980,Infant_1981,Infant_1982,Infant_1983,Infant_1984,Infant_1985,Infant_1986,Infant_1987,Infant_1988,Infant_1989,Infant_1990,Infant_1991,Infant_1992,Infant_1993,Infant_1994,Infant_1995,Infant_1996,Infant_1997,Infant_1998,Infant_1999,Infant_2000,Infant_2001,Infant_2002,Infant_2003,Infant_2004,Infant_2005,Infant_2006,Infant_2007,Infant_2008,Infant_2009,Infant_2010,Infant_2011,Infant_2012,Infant_2013,Infant_2014,Infant_2015
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,240.5,236.3,232.3,228.5,224.6,220.7,217.0,213.3,209.8,206.1,202.2,198.2,194.3,190.3,186.6,182.6,178.7,174.5,170.4,166.1,161.8,157.5,153.2,148.7,144.5,140.2,135.7,131.3,126.8,122.5,118.3,114.4,110.9,107.7,105.0,102.7,100.7,98.9,97.2,95.4,93.4,91.2,89.0,86.7,84.4,82.3,80.4,78.6,76.8,75.1,73.4,71.7,69.9,68.1,66.3
Angola,AGO,,,,,,,,,,,,,,,,,,,,,138.3,137.5,136.8,136.0,135.3,134.9,134.4,134.1,133.8,133.6,133.5,133.5,133.5,133.4,133.2,132.8,132.3,131.5,130.6,129.5,128.3,126.9,125.5,124.1,122.8,121.2,119.4,117.1,114.7,112.2,109.6,106.8,104.1,101.4,98.8,96.0
Albania,ALB,,,,,,,,,,,,,,,,,,,73.0,68.4,64.0,59.9,56.1,52.4,49.1,45.9,43.2,40.8,38.6,36.7,35.1,33.7,32.5,31.4,30.3,29.1,27.9,26.8,25.5,24.4,23.2,22.1,21.0,20.0,19.1,18.3,17.4,16.7,16.0,15.4,14.8,14.3,13.8,13.3,12.9,12.5
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.0,6.5,6.1,5.6,5.2,5.0,4.6,4.3,4.1,3.9,3.7,3.5,3.3,3.2,3.1,2.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2.1
Arab World,ARB,159.950233564,155.313613963,152.233047788,156.521983805,152.166551398,148.067799463,144.187634503,140.53640722,137.093583456,133.704489144,130.551003358,127.40034202,123.426357274,119.8547633,116.087875998,111.780026723,107.692945908,103.466634616,99.1786287948,94.9358801828,90.7236131444,86.4385355032,82.0634837721,78.94395258,74.7106990189,70.7542065955,67.3163125518,64.3025692096,61.7870938405,59.6437773004,57.8029027699,56.1658835356,54.6139685321,53.2126291958,51.82398178,50.4717786933,49.1604100501,47.8674544439,46.5901714011,45.3517539008,44.1009308174,42.8722727202,41.6506048374,40.4592297394,39.2493970945,38.0688069937,36.906182094,35.7212345688,34.5279407824,33.353477391,32.2817026549,31.2353083021,30.3336522566,29.4644771373,28.6844212709,27.9834851149
United Arab Emirates,ARE,137.3,130.5,124.0,117.4,111.0,104.4,97.5,90.6,83.8,77.2,70.9,65.1,59.6,54.7,50.2,45.9,41.9,38.2,34.8,31.7,28.9,26.4,24.2,22.3,20.7,19.3,18.0,16.9,15.9,15.0,14.1,13.4,12.8,12.2,11.7,11.2,10.8,10.5,10.1,9.8,9.6,9.3,9.1,8.9,8.7,8.4,8.2,8.0,7.8,7.6,7.3,7.0,6.7,6.4,6.1,5.9
Argentina,ARG,,,,,,,,,,60.0,59.5,58.8,58.0,56.8,55.2,53.2,50.5,47.2,43.8,40.3,37.2,34.7,32.8,31.3,30.1,29.0,28.1,27.1,26.2,25.3,24.4,23.6,22.8,22.1,21.4,20.8,20.2,19.6,19.1,18.5,18.0,17.6,17.1,16.6,16.0,15.3,14.6,14.1,13.7,13.4,13.0,12.7,12.3,11.9,11.5,11.1
Armenia,ARM,,,,,,,,,,,,,,,,,70.8,68.3,65.9,63.5,61.3,59.2,57.1,55.2,53.3,51.4,49.6,47.8,49.9,44.3,42.5,40.6,38.8,37.0,35.3,33.7,32.1,30.6,29.2,27.9,26.6,25.3,24.2,23.0,21.9,20.8,19.8,18.8,17.9,17.0,16.1,15.3,14.6,13.8,13.2,12.6
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,22.6,21.5,20.3,19.2,18.0,17.1,16.2,15.3,14.5,13.8,13.0,12.3,11.7,11.0,10.4,9.8,9.2,8.8,8.2,7.7,7.2,6.8,6.4,6.1,5.8
Australia,AUS,20.3,20.0,19.5,19.2,18.8,18.6,18.3,18.3,18.2,18.1,17.8,17.4,16.8,16.2,15.3,14.4,13.5,12.7,12.0,11.3,10.8,10.4,10.1,9.8,9.6,9.3,9.1,8.7,8.4,8.0,7.6,7.1,6.7,6.3,6.0,5.7,5.6,5.4,5.3,5.3,5.1,5.0,5.0,4.9,4.9,4.8,4.7,4.5,4.4,4.2,4.1,3.8,3.6,3.4,3.2,3.0
Austria,AUT,37.3,35.0,32.9,31.2,29.7,28.3,27.3,26.4,25.7,25.3,25.0,24.7,24.1,23.0,21.6,19.8,18.1,16.6,15.5,14.6,13.9,13.2,12.6,12.0,11.3,10.7,10.0,9.4,8.9,8.4,8.0,7.6,7.1,6.7,6.2,5.7,5.3,5.0,4.8,4.7,4.6,4.5,4.4,4.3,4.1,4.0,4.0,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3.0,2.9
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,84.9,83.1,81.5,79.9,78.5,77.3,76.3,75.7,75.5,75.7,76.0,76.2,76.1,75.2,73.6,71.2,68.1,64.5,60.6,56.8,53.1,49.7,46.7,44.0,41.5,39.3,37.3,35.5,33.9,32.5,31.2,30.0,28.9,27.9
Burundi,BDI,,,,,142.8,143.6,144.5,145.3,145.9,146.2,146.4,146.3,146.2,146.1,146.0,145.7,144.8,143.0,140.0,136.0,131.1,125.8,120.3,115.0,110.6,106.9,104.5,103.3,103.0,103.3,103.9,104.5,104.8,104.8,104.3,103.2,101.7,100.0,97.9,95.7,93.4,91.0,88.6,85.8,82.9,79.7,76.2,72.7,69.3,66.4,63.8,61.6,59.5,57.6,55.8,54.1
Belgium,BEL,29.5,28.1,27.0,26.0,25.0,24.1,23.3,22.5,21.9,21.3,20.6,19.7,18.7,17.7,16.7,15.8,14.9,14.1,13.5,12.8,12.2,11.7,11.2,10.7,10.2,9.9,9.5,9.2,8.9,8.6,8.3,8.0,7.6,7.2,6.8,6.3,5.9,5.5,5.2,4.9,4.8,4.6,4.4,4.2,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.3
Benin,BEN,186.9,183.9,180.6,177.1,173.6,170.2,166.8,164.0,161.5,159.2,157.1,154.9,152.5,149.8,146.8,143.5,140.1,136.7,133.6,130.9,128.7,126.6,124.7,122.8,120.9,118.9,116.9,114.8,112.6,110.4,108.0,105.6,103.2,100.9,98.9,97.2,95.6,94.2,92.7,91.1,89.3,87.4,85.2,83.0,80.8,78.8,76.9,75.2,73.7,72.3,71.0,69.8,68.5,67.2,65.7,64.2
Burkina Faso,BFA,161.3,159.4,157.5,155.8,154.3,153.0,151.8,150.9,150.2,149.7,149.3,148.5,147.1,144.6,141.0,136.6,131.9,127.4,123.4,120.2,117.6,115.6,113.9,112.4,110.8,109.0,107.1,105.3,103.8,102.9,102.5,102.3,102.4,102.4,102.1,101.4,100.5,99.4,98.3,97.3,96.2,95.0,93.4,91.4,88.9,86.0,82.7,79.2,75.8,72.5,69.7,67.3,65.4,63.7,62.2,60.9
Bangladesh,BGD,176.3,171.7,167.6,163.7,160.3,157.4,155.0,153.0,151.5,150.4,149.5,148.9,148.2,147.4,146.4,145.2,143.5,141.4,139.1,136.5,133.7,130.8,127.8,124.6,121.3,117.9,114.4,110.8,107.1,103.4,99.7,95.8,92.1,88.3,84.6,81.0,77.4,74.0,70.6,67.4,64.4,61.4,58.6,55.9,53.4,50.8,48.4,45.9,43.6,41.3,39.2,37.2,35.3,33.5,32.1,30.7
