Country Name,Country Code,LifeExp_1960,LifeExp_1961,LifeExp_1962,LifeExp_1963,LifeExp_1964,LifeExp_1965,LifeExp_1966,LifeExp_1967,LifeExp_1968,LifeExp_1969,LifeExp_1970,LifeExp_1971,LifeExp_1972,LifeExp_1973,LifeExp_1974,LifeExp_1975,LifeExp_1976,LifeExp_1977,LifeExp_1978,LifeExp_1979,LifeExp_1980,LifeExp_1981,LifeExp_1982,LifeExp_1983,LifeExp_1984,LifeExp_1985,LifeExp_1986,LifeExp_1987,LifeExp_1988,LifeExp_1989,LifeExp_1990,LifeExp_1991,LifeExp_1992,LifeExp_1993,LifeExp_1994,LifeExp_1995,LifeExp_1996,LifeExp_1997,LifeExp_1998,LifeExp_1999,LifeExp_2000,LifeExp_2001,LifeExp_2002,LifeExp_2003,LifeExp_2004,LifeExp_2005,LifeExp_2006,LifeExp_2007,LifeExp_2008,LifeExp_2009,LifeExp_2010,LifeExp_2011,LifeExp_2012,LifeExp_2013,LifeExp_2014,LifeExp_2015
Aruba,ABW,65.5693658537,65.9880243902,66.3655365854,66.7139756098,67.0442926829,67.3697560976,67.699,68.0346829268,68.3771463415,68.7284146341,69.0861463415,69.446097561,69.7986585366,70.1396585366,70.4652926829,70.777804878,71.0808292683,71.3777073171,71.6697804878,71.9528536585,72.2201463415,72.4623414634,72.673195122,72.8490243902,72.9897560976,73.0979756098,73.1793658537,73.2427073171,73.2962439024,73.3444878049,73.3899756098,73.4331219512,73.4717560976,73.5053170732,73.5357560976,73.5636097561,73.5894390244,73.614804878,73.6422926829,73.6753902439,73.7206097561,73.782902439,73.8652439024,73.9685609756,74.0908536585,74.2280731707,74.376195122,74.5267560976,74.6757317073,74.8181463415,74.9535365854,75.0813902439,75.2057560976,75.3286585366,75.451097561,75.5735853659
Afghanistan,AFG,32.3285121951,32.7774390244,33.219902439,33.6578780488,34.0928780488,34.5253902439,34.9574146341,35.3894146341,35.8224146341,36.2603902439,36.7028292683,37.1527560976,37.6101463415,38.0785365854,38.560902439,39.0592926829,39.5757073171,40.1101463415,40.6676097561,41.2505853659,41.8675365854,42.5269268293,43.2307317073,43.9759268293,44.7590243902,45.5770243902,46.4269512195,47.2963414634,48.1697317073,49.0311219512,49.8610487805,50.6409756098,51.3629268293,52.0218780488,52.6143414634,53.1393902439,53.6020487805,54.0178292683,54.4027317073,54.7672682927,55.1258780488,55.4875365854,55.857195122,56.2352926829,56.6263170732,57.0272439024,57.4325609756,57.8338292683,58.2250243902,58.6036829268,58.9708292683,59.3279512195,59.6796097561,60.0282682927,60.3744634146,60.7171707317
Angola,AGO,32.9848292683,33.3862195122,33.7875853659,34.1884634146,34.5903414634,34.9922195122,35.395097561,35.7999756098,36.2058536585,36.6102439024,37.0151219512,37.4210243902,37.8269268293,38.2268292683,38.6137804878,38.975804878,39.301,39.5813658537,39.8158536585,40.0053902439,40.1592439024,40.2886585366,40.408,40.5282439024,40.6539512195,40.7777804878,40.8874878049,40.9738780488,41.0377073171,41.0876585366,41.1383414634,41.2063414634,41.3130243902,41.478195122,41.7162439024,42.0514634146,42.5016341463,43.0621219512,43.7142682927,44.439,45.2047804878,45.9731463415,46.7117317073,47.3931707317,48.0035121951,48.538804878,49.0070487805,49.4357317073,49.8473902439,50.2510243902,50.6541707317,51.0593170732,51.464,51.8661707317,52.2668780488,52.666097561
Albania,ALB,62.2543658537,63.2734634146,64.1628536585,64.887097561,65.438195122,65.8273902439,66.0893170732,66.2872195122,66.4749512195,66.6816097561,66.9325853659,67.2388780488,67.5859512195,67.9579512195,68.3483414634,68.7412195122,69.1155121951,69.4561707317,69.7542439024,70.0096585366,70.2359756098,70.4544634146,70.6851219512,70.9373902439,71.2065365854,71.4712195122,71.6975609756,71.8619512195,71.9532926829,71.9785853659,71.9573170732,71.9184146341,71.900804878,71.9358536585,72.0419512195,72.2360243902,72.5274146341,72.898097561,73.3265853659,73.7933902439,74.2715365854,74.7325609756,75.1546097561,75.5232926829,75.8312195122,76.0816097561,76.2861219512,76.4702926829,76.6520731707,76.8403658537,77.0369512195,77.2405853659,77.4439756098,77.6404634146,77.8304634146,78.0144634146
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,46.8527797922,47.4324476239,48.0105023534,48.5912405493,49.1755375543,49.7587022766,50.3309561928,50.8863344034,51.4244431078,51.9514697814,52.4780380562,53.0195204836,53.5859803631,54.1783804586,54.7907407385,55.4141615034,56.0375710526,56.651763949,57.2561504977,57.8582624578,58.4700666332,59.1022781027,59.7571867207,60.4289595397,61.102606632,61.7565804661,62.3706563445,62.9322160115,63.4337702612,63.8767296269,64.3049397131,64.6687158261,64.9583933834,65.317887727,65.6807283274,66.0871582712,66.4398002626,66.773930569,67.0808381743,67.359751493,67.6124048473,67.8438498307,68.0624483663,68.27713032,68.4934516665,68.7129013608,68.9344991639,69.1525494073,69.3619865217,69.5600380462,69.7493027293,69.9356702332,70.1254128936,70.3198441872,70.5171625175,70.7140651115
United Arab Emirates,ARE,52.2432195122,53.2865609756,54.327,55.3635121951,56.3925853659,57.4057073171,58.3918536585,59.3404634146,60.2440487805,61.0985853659,61.9010487805,62.6549512195,63.3663170732,64.0431219512,64.688902439,65.3051463415,65.8933414634,66.454,66.9886097561,67.4971707317,67.983195122,68.4451707317,68.884097561,69.3014878049,69.6983170732,70.0766341463,70.4363902439,70.7781219512,71.1048292683,71.418,71.7201463415,72.0122926829,72.2964146341,72.5730243902,72.8455853659,73.1150731707,73.3839268293,73.6526585366,73.9202195122,74.1871707317,74.4515365854,74.7128780488,74.9682682927,75.2172195122,75.4572682927,75.6863902439,75.9045365854,76.1111707317,76.3077560976,76.4947804878,76.6752439024,76.851195122,77.0241463415,77.1956341463,77.3681707317,77.5412439024
Argentina,ARG,65.2155365854,65.3385121951,65.4326097561,65.5093902439,65.5824146341,65.6686829268,65.7822439024,65.9300243902,66.1134878049,66.335097561,66.5908292683,66.8731219512,67.1679512195,67.4653170732,67.7586585366,68.0479512195,68.3367073171,68.6294390244,68.9266341463,69.2243170732,69.5144878049,69.7866585366,70.0353170732,70.257,70.454195122,70.6313902439,70.7990731707,70.9677560976,71.145902439,71.3375365854,71.5436585366,71.7632926829,71.9889512195,72.2156585366,72.4413902439,72.6651219512,72.8873414634,73.1080487805,73.3276829268,73.5442682927,73.755804878,73.9603170732,74.1557804878,74.3412682927,74.5187804878,74.687804878,74.849902439,75.0090487805,75.1662682927,75.3245609756,75.4849756098,75.6490487805,75.8162439024,75.986097561,76.1586097561,76.3342195122
Armenia,ARM,65.8634634146,66.2843902439,66.7098536585,67.1378536585,67.5654146341,67.9915365854,68.4147317073,68.8304878049,69.2292682927,69.6000487805,69.9242682927,70.1828780488,70.3673414634,70.4796585366,70.5263414634,70.5319268293,70.5294146341,70.542902439,70.5829756098,70.6412682927,70.6845365854,70.6616097561,70.5355121951,70.2901463415,69.9356829268,69.5,69.0242926829,68.5675609756,68.182097561,67.8995121951,67.747804878,67.7382926829,67.8533414634,68.0695609756,68.3766585366,68.7635609756,69.2168536585,69.7164146341,70.2402195122,70.767097561,71.2765853659,71.7558292683,72.2016097561,72.6095853659,72.9737560976,73.2873902439,73.5482682927,73.7646585366,73.945,74.0958292683,74.2263414634,74.3428292683,74.452097561,74.5613658537,74.6757073171,74.7971219512
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
