Country Name,Country Code,ImpSanit_Acc_1960,ImpSanit_Acc_1961,ImpSanit_Acc_1962,ImpSanit_Acc_1963,ImpSanit_Acc_1964,ImpSanit_Acc_1965,ImpSanit_Acc_1966,ImpSanit_Acc_1967,ImpSanit_Acc_1968,ImpSanit_Acc_1969,ImpSanit_Acc_1970,ImpSanit_Acc_1971,ImpSanit_Acc_1972,ImpSanit_Acc_1973,ImpSanit_Acc_1974,ImpSanit_Acc_1975,ImpSanit_Acc_1976,ImpSanit_Acc_1977,ImpSanit_Acc_1978,ImpSanit_Acc_1979,ImpSanit_Acc_1980,ImpSanit_Acc_1981,ImpSanit_Acc_1982,ImpSanit_Acc_1983,ImpSanit_Acc_1984,ImpSanit_Acc_1985,ImpSanit_Acc_1986,ImpSanit_Acc_1987,ImpSanit_Acc_1988,ImpSanit_Acc_1989,ImpSanit_Acc_1990,ImpSanit_Acc_1991,ImpSanit_Acc_1992,ImpSanit_Acc_1993,ImpSanit_Acc_1994,ImpSanit_Acc_1995,ImpSanit_Acc_1996,ImpSanit_Acc_1997,ImpSanit_Acc_1998,ImpSanit_Acc_1999,ImpSanit_Acc_2000,ImpSanit_Acc_2001,ImpSanit_Acc_2002,ImpSanit_Acc_2003,ImpSanit_Acc_2004,ImpSanit_Acc_2005,ImpSanit_Acc_2006,ImpSanit_Acc_2007,ImpSanit_Acc_2008,ImpSanit_Acc_2009,ImpSanit_Acc_2010,ImpSanit_Acc_2011,ImpSanit_Acc_2012,ImpSanit_Acc_2013,ImpSanit_Acc_2014,ImpSanit_Acc_2015,ImpSanit_Acc_2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,98.6,98.5,98.5,98.4,98.4,98.3,98.3,98.3,98.2,98.2,98.1,98.1,98.0,98.0,98.0,97.9,97.9,97.8,97.8,97.7,97.7,97.7,97.7,97.7,97.7,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,20.5,20.5,20.6,20.6,21.1,21.7,22.2,22.8,23.4,23.9,24.5,25.1,25.7,26.3,26.9,27.4,28.0,28.7,29.3,29.9,30.5,31.1,31.8,31.9,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,22.8,23.1,23.5,24.2,25.5,26.8,28.1,29.4,30.8,32.1,33.5,34.8,36.2,37.6,39.0,40.4,41.8,43.3,44.7,46.2,47.6,49.1,50.6,51.1,51.6,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1,78.2,78.3,78.4,78.6,79.4,80.2,81.0,81.8,82.6,83.4,84.2,85.0,85.8,86.6,87.4,88.1,88.9,89.6,90.2,90.9,91.5,92.1,92.7,93.2,93.2,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8911569733,68.0720900219,68.3485359575,67.4181518212,68.0111885473,68.7940465239,69.3940781965,70.0857759367,70.8629228737,71.4986316827,72.134086804,72.8041293415,73.4154170419,74.0476071437,74.7163380051,75.4100720796,76.0803922451,76.7356819135,77.4074506219,77.9699814701,78.3093380045,78.6555417263,80.8519289273,83.1146902867,83.1453247797,90.3704943974,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.6,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4,87.9,88.3,88.7,89.1,89.5,89.9,90.2,90.6,91.0,91.4,91.7,92.1,92.5,92.8,93.2,93.5,93.9,94.2,94.5,94.9,95.2,95.5,95.8,96.1,96.4,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6,89.5,89.5,89.4,89.4,89.4,89.4,89.4,89.3,89.3,89.3,89.4,89.4,89.4,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,61.0,61.0,61.0,61.1,61.1,61.2,61.3,61.4,61.5,61.5,61.6,61.7,61.8,61.8,61.9,62.0,62.1,62.1,62.2,62.3,62.4,62.5,62.5,62.5,62.5,
