Country Name,Country Code,TechExp_1960,TechExp_1961,TechExp_1962,TechExp_1963,TechExp_1964,TechExp_1965,TechExp_1966,TechExp_1967,TechExp_1968,TechExp_1969,TechExp_1970,TechExp_1971,TechExp_1972,TechExp_1973,TechExp_1974,TechExp_1975,TechExp_1976,TechExp_1977,TechExp_1978,TechExp_1979,TechExp_1980,TechExp_1981,TechExp_1982,TechExp_1983,TechExp_1984,TechExp_1985,TechExp_1986,TechExp_1987,TechExp_1988,TechExp_1989,TechExp_1990,TechExp_1991,TechExp_1992,TechExp_1993,TechExp_1994,TechExp_1995,TechExp_1996,TechExp_1997,TechExp_1998,TechExp_1999,TechExp_2000,TechExp_2001,TechExp_2002,TechExp_2003,TechExp_2004,TechExp_2005,TechExp_2006,TechExp_2007,TechExp_2008,TechExp_2009,TechExp_2010,TechExp_2011,TechExp_2012,TechExp_2013,TechExp_2014,TechExp_2015,TechExp_2016
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41437558254,,,,3.2138575422,3.29231347724,4.05265539839,10.2400979358,4.91572895384,5.44921110825,4.69476774169,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179503227853,0.339874041349,0.761716062589,1.74455386513,0.697374879419,0.724100711308,0.699557264167,0.959974650011,0.991776724901,4.22269969691,6.16741493477,1.31430513179,3.46961564193,0.764653339194,0.89350924878,0.530148790877,0.443274093451,0.513330673282,0.120347981733,1.487346477,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16474759829,13.5607245483,19.8012256021,12.8138865021,9.70343223954,10.9219683281,21.7966184565,16.9856774992,20.4767480059,26.6974231536,26.4016186858,15.3653892262,22.3118838491,13.9262134771,10.302109051,21.6180124062,16.7469272586,19.4440624189,22.0504795167,18.611335765,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27383726054,1.42932840951,3.22861362671,0.903992034373,1.13629893698,,1.81334339363,2.84914272412,1.72780328968,1.49437025589,1.41816353529,1.68364420777,1.17601136837,1.45419129371,1.35303412398,1.09938712432,1.57104237229,,,1.13060152499,2.09906107687,1.73742768435,3.32640061703,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0264786378372,0.151992165621,0.0316455206676,,,,,,1.12098329514,0.708440058372,1.9650719445,,,,1.87148890209,,1.0703835679,3.20278543864,,,,3.71069131493,3.17757823107,8.46340885063,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95319101739,6.47917455111,4.75737050524,4.02028497994,5.59195718,5.07483159624,5.90945120887,8.10406311779,9.35185630558,9.26734447551,7.66904536724,8.89749476292,7.71902367797,6.82663003885,7.0541822198,6.59445029079,9.01736918632,8.68693306584,7.41858591273,7.07402144339,6.41577877147,7.25968019838,6.87639172295,9.00819985272,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50160759054,,2.28304231746,4.72662731923,10.3987265945,1.62244817133,1.40902707956,1.24611704634,0.619179418429,1.0803952442,0.875873520222,1.40588202628,2.18189877412,1.8486593723,2.59836231615,2.64941166759,2.88315023156,2.70033218674,5.27427739363,4.74233641383
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79211150042,0.0923911575598,,,,,0.780367566212,,0.0565125312328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07411970284,7.30144857236,8.06952862373,9.77794093168,10.4348473367,11.4808046941,14.0804552766,12.8551211596,12.0701137397,11.7296786982,11.4615024097,11.0908318173,15.3599446467,15.4885635586,16.519670867,13.6985186455,13.5333031679,12.7676281913,12.3183322073,10.2572137069,10.7883672863,11.9257581381,11.8668243457,13.0670969607,12.7295858229,12.9099946244,13.5987282005,13.5130644616,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00691180739,7.10648589297,7.87295921737,8.60114522046,8.41816757628,8.7790923706,10.0952262927,8.8459504489,8.87368479461,10.8995366186,10.9563401849,12.2696648321,14.597816698,14.609851363,16.3508087562,15.5315528531,16.1649776912,13.7429326785,13.33616014,11.3098105841,10.9961556804,11.6361692775,11.9055753938,11.6691799265,12.8366827512,13.7155506208,13.8805613897,13.3529676803,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22708864849,4.43397523375,13.6932366432,8.53754367245,4.589822663,8.84982807757,7.8958183124,5.14831695051,2.17736233547,1.05641286443,1.75004117746,3.39973312552,0.923285802067,0.983053092223,1.08392898833,1.34769012055,7.26848873238,13.423182226,7.00246909569,2.53386968097,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0405859136864,1.06341038635,0.196872990946,,,1.48859877276,0.331964263031,0.0293891693177,2.4131684758,22.3436241306,12.0886418855,5.87420027926,4.1927805619,3.13824595596,2.16469934893,7.51500086733,11.5369776704,8.49567485658,0.000246441978143,2.74734890378,0.284705615065,1.28347145259,3.49174225038,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1845392013,10.7311106219,10.9155247233,8.87881938165,8.94125460268,8.56083483216,8.86073056327,8.40397606852,7.51554282913,7.98386184902,10.4261156157,10.479162714,10.0050394931,11.3566099202,11.4875215608,12.8109517773,13.0228735261,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225206600017,1.28497003412,0.104314163795,0.138567304066,1.71039510693,0.120940186878,0.0586544769245,0.0994514066485,0.165676721359,0.844632448861,0.395744078599,1.0510616515,0.731122419769,0.427288090826,3.10458266333,1.22933518609,4.12637971495,0.940595798366,
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93086966927,6.14394337476,6.29676678481,3.39684902506,4.33470510948,3.17558516672,6.97916671244,2.08918665157,4.99486230534,11.3653069317,22.4762716994,,5.66952009205,0.676025451841,0.513097165946,7.80400790995,5.90104616739,8.20416123797,13.6787687706,10.6497824568,4.98216283557,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407667872408,0.483968406272,0.252819590297,0.187750145513,0.0182367161788,0.064091518709,0.0320086557874,0.0628371544163,0.00748076116198,0.0760744160065,,0.213022146745,0.182700196503,0.135246923584,0.251442820968,0.210449868077,0.324630911049,0.219801354082,1.15229815704,0.413314269993,0.263125028054,0.178823144751,0.174566157669,,,,,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85844901105,3.7445379674,2.99657108123,2.92729881578,2.87184379672,2.89188299151,4.10723065663,4.43462004049,4.06254545205,4.77120176788,6.119406356,5.96936262003,6.55365055492,8.15013351883,7.91304815604,7.467038084,7.74577005333,7.96063588632,6.88225822262,7.64851304816,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10910871715,2.63250477806,4.39847891553,,,,0.0360571955668,0.00879629413585,0.00720736066365,0.115940632718,0.070899213965,0.0665598469369,0.0555026323729,0.0458604115523,2.52827613649,0.0296986264813,0.110260452133,0.152283226277,0.357658478174,0.590526411152,1.49274422242,0.959230358183,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.9817505441,2.45383297295,6.80828549718,0.684347397417,3.0899541979,0.0,0.0,0.000416074822098,0.389315819148,0.000132022163141,0.0,3.27128879313e-05,0.00179611888454,0.0,0.0,0.0,0.0,0.0,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75654481928,1.88441993978,2.04056640622,2.16911067684,2.13857979065,4.14312749224,3.27653694476,2.5818115688,3.04308415338,2.46327262134,2.30130616145,2.39656652109,2.81892446777,2.61068663329
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75090564971,3.53959353049,3.82905452213,4.08289221654,4.2920156199,3.76001270793,2.84903745296,2.69663306751,2.79162435698,2.76756661975,2.43132592289,3.13221055403,3.03250101319,2.57172343835,2.88340390621,4.39974112155,3.9290165837,4.31492004393,4.69736922259
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.00122946661656,0.0,0.0,0.0,0.0024597541454,2.64304978732,1.90436933263e-05,0.0163262415812,0.00778019059738,0.0697376765348,0.000271206073091,0.00992530997467,10.2070660125,0.0758090469667,0.105390595557,0.376772380794,,4.83828391521,,0.0,0.0,0.0,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26849483354,12.4082379398,27.7915229982,26.8315905,
